!date	Q	temp	NO3	PO4_P	TP	dd_P	Pw
2008-01-01 00:00:00	0.16	5.25506	93.341	0.36288	0.432	0.06912	0
2008-01-02 00:00:00	0.16	5.01883	93.341	0.36288	0.432	0.06912	0
2008-01-03 00:00:00	0.14	4.82796	92.426	0.35616	0.424	0.06784	0
2008-01-04 00:00:00	0.14	4.73361	92.426	0.35616	0.424	0.06784	0
2008-01-05 00:00:00	0.15	4.93554	92.907	0.35952	0.428	0.06848	0
2008-01-06 00:00:00	0.14	5.38826	92.426	0.35616	0.424	0.06784	0
2008-01-07 00:00:00	0.15	5.65442	92.907	0.35952	0.428	0.06848	0
2008-01-08 00:00:00	0.14	5.74963	92.426	0.35616	0.424	0.06784	0
2008-01-09 00:00:00	0.14	5.70486	92.426	0.35616	0.424	0.06784	0
2008-01-10 00:00:00	0.14	5.68603	92.426	0.35616	0.424	0.06784	0
2008-01-11 00:00:00	0.15	5.89377	92.907	0.35952	0.428	0.06848	0
2008-01-12 00:00:00	0.16	5.93776	93.341	0.36288	0.432	0.06912	0
2008-01-13 00:00:00	0.15	5.586	92.907	0.35952	0.428	0.06848	0
2008-01-14 00:00:00	0.15	5.34979	92.907	0.35952	0.428	0.06848	0
2008-01-15 00:00:00	0.18	5.54258	94.091	0.36876	0.439	0.07024	0
2008-01-16 00:00:00	0.16	5.84575	93.341	0.36288	0.432	0.06912	0
2008-01-17 00:00:00	0.18	5.92521	94.091	0.36876	0.439	0.07024	0
2008-01-18 00:00:00	0.2	6.1207	94.717	0.37464	0.446	0.07136	0
2008-01-19 00:00:00	0.66	6.8901	98.578	0.44352	0.528	0.08448	0
2008-01-20 00:00:00	1.2	7.03316	98.143	0.48216	0.574	0.09184	0
2008-01-21 00:00:00	0.2	6.86813	94.717	0.37464	0.446	0.07136	0
2008-01-22 00:00:00	0.2	6.61465	94.717	0.37464	0.446	0.07136	0
2008-01-23 00:00:00	0.19	6.39339	94.418	0.37212	0.443	0.07088	0
2008-01-24 00:00:00	0.2	6.5549	94.717	0.37464	0.446	0.07136	0
2008-01-25 00:00:00	0.19	6.35522	94.418	0.37212	0.443	0.07088	0
2008-01-26 00:00:00	0.19	6.39988	94.418	0.37212	0.443	0.07088	0
2008-01-27 00:00:00	0.19	6.43138	94.418	0.37212	0.443	0.07088	0
2008-01-28 00:00:00	0.18	6.41456	94.091	0.36876	0.439	0.07024	0
2008-01-29 00:00:00	0.18	6.32256	94.091	0.36876	0.439	0.07024	0
2008-01-30 00:00:00	0.16	5.95396	93.341	0.36288	0.432	0.06912	0
2008-01-31 00:00:00	0.16	5.70585	93.341	0.36288	0.432	0.06912	0
2008-02-01 00:00:00	0.16	5.83816	93.341	0.36288	0.432	0.06912	0
2008-02-02 00:00:00	0.16	5.80943	93.341	0.36288	0.432	0.06912	0
2008-02-03 00:00:00	0.15	5.45118	92.907	0.35952	0.428	0.06848	0
2008-02-04 00:00:00	0.15	5.49396	92.907	0.35952	0.428	0.06848	0
2008-02-05 00:00:00	0.15	5.82501	92.907	0.35952	0.428	0.06848	0
2008-02-06 00:00:00	0.15	6.26285	92.907	0.35952	0.428	0.06848	0
2008-02-07 00:00:00	0.18	6.21066	94.091	0.36876	0.439	0.07024	0
2008-02-08 00:00:00	0.19	6.12486	94.418	0.37212	0.443	0.07088	0
2008-02-09 00:00:00	0.19	6.18694	94.418	0.37212	0.443	0.07088	0
2008-02-10 00:00:00	0.19	6.15332	94.418	0.37212	0.443	0.07088	0
2008-02-11 00:00:00	0.18	6.2894	94.091	0.36876	0.439	0.07024	0
2008-02-12 00:00:00	0.18	6.04528	94.091	0.36876	0.439	0.07024	0
2008-02-13 00:00:00	0.18	5.78807	94.091	0.36876	0.439	0.07024	0
2008-02-14 00:00:00	0.16	5.59612	93.341	0.36288	0.432	0.06912	0
2008-02-15 00:00:00	0.15	5.30524	92.907	0.35952	0.428	0.06848	0
2008-02-16 00:00:00	0.14	4.9042	92.426	0.35616	0.424	0.06784	0
2008-02-17 00:00:00	0.14	4.78311	92.426	0.35616	0.424	0.06784	0
2008-02-18 00:00:00	0.14	5.23974	92.426	0.35616	0.424	0.06784	0
2008-02-19 00:00:00	0.14	5.60207	92.426	0.35616	0.424	0.06784	0
2008-02-20 00:00:00	0.14	5.62635	92.426	0.35616	0.424	0.06784	0
2008-02-21 00:00:00	0.14	5.83765	92.426	0.35616	0.424	0.06784	0
2008-02-22 00:00:00	0.14	6.32944	92.426	0.35616	0.424	0.06784	0
2008-02-23 00:00:00	0.14	6.62664	92.426	0.35616	0.424	0.06784	0
2008-02-24 00:00:00	0.14	6.6571	92.426	0.35616	0.424	0.06784	0
2008-02-25 00:00:00	0.13	6.57916	91.89	0.35196	0.419	0.06704	0
2008-02-26 00:00:00	0.13	6.70825	91.89	0.35196	0.419	0.06704	0
2008-02-27 00:00:00	0.19	6.62752	94.418	0.37212	0.443	0.07088	0
2008-02-28 00:00:00	0.16	6.22989	93.341	0.36288	0.432	0.06912	0
2008-02-29 00:00:00	0.16	6.1981	93.341	0.36288	0.432	0.06912	0
2008-03-01 00:00:00	0.72	6.48619	98.615	0.44856	0.534	0.08544	0
2008-03-02 00:00:00	0.18	6.75937	94.091	0.36876	0.439	0.07024	0
2008-03-03 00:00:00	0.19	6.64097	94.418	0.37212	0.443	0.07088	0
2008-03-04 00:00:00	0.18	6.26065	94.091	0.36876	0.439	0.07024	0
2008-03-05 00:00:00	0.18	5.95251	94.091	0.36876	0.439	0.07024	0
2008-03-06 00:00:00	0.18	5.99002	94.091	0.36876	0.439	0.07024	0
2008-03-07 00:00:00	0.18	6.39814	94.091	0.36876	0.439	0.07024	0
2008-03-08 00:00:00	0.18	6.60645	94.091	0.36876	0.439	0.07024	0
2008-03-09 00:00:00	0.18	6.62142	94.091	0.36876	0.439	0.07024	0
2008-03-10 00:00:00	0.18	6.81807	94.091	0.36876	0.439	0.07024	0
2008-03-11 00:00:00	0.18	6.82535	94.091	0.36876	0.439	0.07024	0
2008-03-12 00:00:00	0.18	6.75795	94.091	0.36876	0.439	0.07024	0
2008-03-13 00:00:00	0.16	6.65865	93.341	0.36288	0.432	0.06912	0
2008-03-14 00:00:00	0.16	6.57706	93.341	0.36288	0.432	0.06912	0
2008-03-15 00:00:00	0.15	6.66454	92.907	0.35952	0.428	0.06848	0
2008-03-16 00:00:00	0.18	6.92155	94.091	0.36876	0.439	0.07024	0
2008-03-17 00:00:00	0.18	6.91214	94.091	0.36876	0.439	0.07024	0
2008-03-18 00:00:00	0.19	6.78213	94.418	0.37212	0.443	0.07088	0
2008-03-19 00:00:00	0.2	6.78568	94.717	0.37464	0.446	0.07136	0
2008-03-20 00:00:00	0.2	6.71847	94.717	0.37464	0.446	0.07136	0
2008-03-21 00:00:00	0.2	6.75859	94.717	0.37464	0.446	0.07136	0
2008-03-22 00:00:00	0.19	6.66317	94.418	0.37212	0.443	0.07088	0
2008-03-23 00:00:00	0.18	6.283	94.091	0.36876	0.439	0.07024	0
2008-03-24 00:00:00	0.16	6.07439	93.341	0.36288	0.432	0.06912	0
2008-03-25 00:00:00	0.16	6.1772	93.341	0.36288	0.432	0.06912	0
2008-03-26 00:00:00	0.16	6.18987	93.341	0.36288	0.432	0.06912	0
2008-03-27 00:00:00	0.16	6.45494	93.341	0.36288	0.432	0.06912	0
2008-03-28 00:00:00	0.15	6.85992	92.907	0.35952	0.428	0.06848	0
2008-03-29 00:00:00	0.16	7.11848	93.341	0.36288	0.432	0.06912	0
2008-03-30 00:00:00	0.18	7.57105	94.091	0.36876	0.439	0.07024	0
2008-03-31 00:00:00	0.18	7.79678	94.091	0.36876	0.439	0.07024	0
2008-04-01 00:00:00	0.19	7.8355	94.418	0.37212	0.443	0.07088	0
2008-04-02 00:00:00	0.2	7.71251	94.717	0.37464	0.446	0.07136	0
2008-04-03 00:00:00	0.2	7.6197	94.717	0.37464	0.446	0.07136	0
2008-04-04 00:00:00	0.2	7.68683	94.717	0.37464	0.446	0.07136	0
2008-04-05 00:00:00	0.22	7.68942	95.245	0.37968	0.452	0.07232	0
2008-04-06 00:00:00	0.2	7.69871	94.717	0.37464	0.446	0.07136	0
2008-04-07 00:00:00	0.2	7.55635	94.717	0.37464	0.446	0.07136	0
2008-04-08 00:00:00	0.2	7.72156	94.717	0.37464	0.446	0.07136	0
2008-04-09 00:00:00	0.2	7.74666	94.717	0.37464	0.446	0.07136	0
2008-04-10 00:00:00	0.2	7.62977	94.717	0.37464	0.446	0.07136	0
2008-04-11 00:00:00	0.2	7.995	94.717	0.37464	0.446	0.07136	0
2008-04-12 00:00:00	0.22	8.24991	95.245	0.37968	0.452	0.07232	0
2008-04-13 00:00:00	0.24	8.34343	95.695	0.38472	0.458	0.07328	0
2008-04-14 00:00:00	0.24	8.40496	95.695	0.38472	0.458	0.07328	0
2008-04-15 00:00:00	0.24	8.17312	95.695	0.38472	0.458	0.07328	0
2008-04-16 00:00:00	0.22	8.04997	95.245	0.37968	0.452	0.07232	0
2008-04-17 00:00:00	0.2	7.9756	94.717	0.37464	0.446	0.07136	0
2008-04-18 00:00:00	0.2	8.06426	94.717	0.37464	0.446	0.07136	0
2008-04-19 00:00:00	0.2	8.10239	94.717	0.37464	0.446	0.07136	0
2008-04-20 00:00:00	0.19	8.09883	94.418	0.37212	0.443	0.07088	0
2008-04-21 00:00:00	0.19	8.40578	94.418	0.37212	0.443	0.07088	0
2008-04-22 00:00:00	0.19	8.46489	94.418	0.37212	0.443	0.07088	0
2008-04-23 00:00:00	0.18	8.44894	94.091	0.36876	0.439	0.07024	0
2008-04-24 00:00:00	0.18	8.65841	94.091	0.36876	0.439	0.07024	0
2008-04-25 00:00:00	0.16	8.59594	93.341	0.36288	0.432	0.06912	0
2008-04-26 00:00:00	0.15	8.59614	92.907	0.35952	0.428	0.06848	0
2008-04-27 00:00:00	0.15	8.94563	92.907	0.35952	0.428	0.06848	0
2008-04-28 00:00:00	0.15	9.24024	92.907	0.35952	0.428	0.06848	0
2008-04-29 00:00:00	0.16	9.07493	93.341	0.36288	0.432	0.06912	0
2008-04-30 00:00:00	0.15	8.90355	92.907	0.35952	0.428	0.06848	0
2008-05-01 00:00:00	0.15	8.92307	92.907	0.35952	0.428	0.06848	0
2008-05-02 00:00:00	0.15	8.7606	92.907	0.35952	0.428	0.06848	0
2008-05-03 00:00:00	0.14	8.77407	92.426	0.35616	0.424	0.06784	0
2008-05-04 00:00:00	0.14	8.90492	92.426	0.35616	0.424	0.06784	0
2008-05-05 00:00:00	0.14	8.9929	92.426	0.35616	0.424	0.06784	0
2008-05-06 00:00:00	0.14	9.20076	92.426	0.35616	0.424	0.06784	0
2008-05-07 00:00:00	0.14	9.4414	92.426	0.35616	0.424	0.06784	0
2008-05-08 00:00:00	0.13	9.6233	91.89	0.35196	0.419	0.06704	0
2008-05-09 00:00:00	0.16	9.85254	93.341	0.36288	0.432	0.06912	0
2008-05-10 00:00:00	0.16	10.00334	93.341	0.36288	0.432	0.06912	0
2008-05-11 00:00:00	0.15	10.02559	92.907	0.35952	0.428	0.06848	0
2008-05-12 00:00:00	0.15	10.04685	92.907	0.35952	0.428	0.06848	0
2008-05-13 00:00:00	0.15	10.11493	92.907	0.35952	0.428	0.06848	0
2008-05-14 00:00:00	0.15	10.09572	92.907	0.35952	0.428	0.06848	0
2008-05-15 00:00:00	0.14	10.02075	92.426	0.35616	0.424	0.06784	0
2008-05-16 00:00:00	0.15	10.03616	92.907	0.35952	0.428	0.06848	0
2008-05-17 00:00:00	0.14	10.05449	92.426	0.35616	0.424	0.06784	0
2008-05-18 00:00:00	0.13	9.76634	91.89	0.35196	0.419	0.06704	0
