!date	Q	temp	NO3	PO4_P	TP	dd_P	Pw
2008-01-01 00:00:00	0.202	5.25506	100.034	0.29325	0.345	0.05175	0
2008-01-02 00:00:00	0.202	5.01883	100.101	0.29325	0.345	0.05175	0
2008-01-03 00:00:00	0.202	4.82796	100.167	0.29325	0.345	0.05175	0
2008-01-04 00:00:00	0.188	4.73361	99.749	0.28985	0.341	0.05115	0
2008-01-05 00:00:00	0.188	4.93554	99.812	0.28985	0.341	0.05115	0
2008-01-06 00:00:00	0.202	5.38826	100.357	0.29325	0.345	0.05175	0
2008-01-07 00:00:00	0.202	5.65442	100.417	0.29325	0.345	0.05175	0
2008-01-08 00:00:00	0.188	5.74963	99.993	0.28985	0.341	0.05115	0
2008-01-09 00:00:00	0.174	5.70486	99.471	0.2873	0.338	0.0507	0
2008-01-10 00:00:00	0.174	5.68603	99.526	0.2873	0.338	0.0507	0
2008-01-11 00:00:00	0.174	5.89377	99.581	0.2873	0.338	0.0507	0
2008-01-12 00:00:00	0.174	5.93776	99.633	0.2873	0.338	0.0507	0
2008-01-13 00:00:00	0.174	5.586	99.685	0.2873	0.338	0.0507	0
2008-01-14 00:00:00	0.174	5.34979	99.735	0.2873	0.338	0.0507	0
2008-01-15 00:00:00	0.174	5.54258	99.783	0.2873	0.338	0.0507	0
2008-01-16 00:00:00	0.188	5.84575	100.411	0.28985	0.341	0.05115	0
2008-01-17 00:00:00	0.202	5.92521	100.943	0.29325	0.345	0.05175	0
2008-01-18 00:00:00	0.264	6.1207	102.331	0.3043	0.358	0.0537	0
2008-01-19 00:00:00	0.626	6.8901	101.499	0.3417	0.402	0.0603	0
2008-01-20 00:00:00	1.01	7.03316	97.711	0.36465	0.429	0.06435	0
2008-01-21 00:00:00	1.08	6.86813	97.037	0.36805	0.433	0.06495	0
2008-01-22 00:00:00	1.01	6.61465	97.786	0.36465	0.429	0.06435	0
2008-01-23 00:00:00	0.893	6.39339	99.021	0.3587	0.422	0.0633	0
2008-01-24 00:00:00	0.727	6.5549	100.735	0.34935	0.411	0.06165	0
2008-01-25 00:00:00	0.675	6.35522	101.27	0.34595	0.407	0.06105	0
2008-01-26 00:00:00	0.579	6.39988	102.16	0.3383	0.398	0.0597	0
2008-01-27 00:00:00	0.492	6.43138	102.832	0.3315	0.39	0.0585	0
2008-01-28 00:00:00	0.444	6.41456	103.12	0.3264	0.384	0.0576	0
2008-01-29 00:00:00	0.421	6.32256	103.236	0.32385	0.381	0.05715	0
2008-01-30 00:00:00	0.399	5.95396	103.321	0.32215	0.379	0.05685	0
2008-01-31 00:00:00	0.378	5.70585	103.373	0.3196	0.376	0.0564	0
2008-02-01 00:00:00	0.399	5.83816	103.365	0.32215	0.379	0.05685	0
2008-02-02 00:00:00	0.378	5.80943	103.413	0.3196	0.376	0.0564	0
2008-02-03 00:00:00	0.337	5.45118	103.387	0.3145	0.37	0.0555	0
2008-02-04 00:00:00	0.318	5.49396	103.326	0.31195	0.367	0.05505	0
2008-02-05 00:00:00	0.318	5.82501	103.34	0.31195	0.367	0.05505	0
2008-02-06 00:00:00	0.399	6.26285	103.445	0.32215	0.379	0.05685	0
2008-02-07 00:00:00	0.579	6.21066	102.402	0.3383	0.398	0.0597	0
2008-02-08 00:00:00	0.626	6.12486	102.003	0.3417	0.402	0.0603	0
2008-02-09 00:00:00	0.579	6.18694	102.418	0.3383	0.398	0.0597	0
2008-02-10 00:00:00	0.492	6.15332	103.066	0.3315	0.39	0.0585	0
2008-02-11 00:00:00	0.468	6.2894	103.21	0.32895	0.387	0.05805	0
2008-02-12 00:00:00	0.421	6.04528	103.421	0.32385	0.381	0.05715	0
2008-02-13 00:00:00	0.399	5.78807	103.481	0.32215	0.379	0.05685	0
2008-02-14 00:00:00	0.378	5.59612	103.507	0.3196	0.376	0.0564	0
2008-02-15 00:00:00	0.318	5.30524	103.382	0.31195	0.367	0.05505	0
2008-02-16 00:00:00	0.281	4.9042	103.092	0.30685	0.361	0.05415	0
2008-02-17 00:00:00	0.264	4.78311	102.878	0.3043	0.358	0.0537	0
2008-02-18 00:00:00	0.281	5.23974	103.075	0.30685	0.361	0.05415	0
2008-02-19 00:00:00	0.264	5.60207	102.858	0.3043	0.358	0.0537	0
2008-02-20 00:00:00	0.264	5.62635	102.845	0.3043	0.358	0.0537	0
2008-02-21 00:00:00	0.264	5.83765	102.83	0.3043	0.358	0.0537	0
2008-02-22 00:00:00	0.264	6.32944	102.814	0.3043	0.358	0.0537	0
2008-02-23 00:00:00	0.248	6.62664	102.547	0.30175	0.355	0.05325	0
2008-02-24 00:00:00	0.248	6.6571	102.527	0.30175	0.355	0.05325	0
2008-02-25 00:00:00	0.232	6.57916	102.196	0.29835	0.351	0.05265	0
2008-02-26 00:00:00	0.232	6.70825	102.172	0.29835	0.351	0.05265	0
2008-02-27 00:00:00	0.232	6.62752	102.147	0.29835	0.351	0.05265	0
2008-02-28 00:00:00	0.248	6.22989	102.43	0.30175	0.355	0.05325	0
2008-02-29 00:00:00	0.248	6.1981	102.401	0.30175	0.355	0.05325	0
2008-03-01 00:00:00	0.399	6.48619	103.199	0.32215	0.379	0.05685	0
2008-03-02 00:00:00	0.492	6.75937	102.758	0.3315	0.39	0.0585	0
2008-03-03 00:00:00	0.535	6.64097	102.429	0.3349	0.394	0.0591	0
2008-03-04 00:00:00	0.492	6.26065	102.689	0.3315	0.39	0.0585	0
2008-03-05 00:00:00	0.468	5.95251	102.791	0.32895	0.387	0.05805	0
2008-03-06 00:00:00	0.421	5.99002	102.961	0.32385	0.381	0.05715	0
2008-03-07 00:00:00	0.421	6.39814	102.92	0.32385	0.381	0.05715	0
2008-03-08 00:00:00	0.399	6.60645	102.937	0.32215	0.379	0.05685	0
2008-03-09 00:00:00	0.378	6.62142	102.921	0.3196	0.376	0.0564	0
2008-03-10 00:00:00	0.337	6.81807	102.832	0.3145	0.37	0.0555	0
2008-03-11 00:00:00	0.337	6.82535	102.784	0.3145	0.37	0.0555	0
2008-03-12 00:00:00	0.337	6.75795	102.735	0.3145	0.37	0.0555	0
2008-03-13 00:00:00	0.318	6.65865	102.609	0.31195	0.367	0.05505	0
2008-03-14 00:00:00	0.337	6.57706	102.633	0.3145	0.37	0.0555	0
2008-03-15 00:00:00	0.337	6.66454	102.579	0.3145	0.37	0.0555	0
2008-03-16 00:00:00	0.399	6.92155	102.539	0.32215	0.379	0.05685	0
2008-03-17 00:00:00	0.727	6.91214	100.088	0.34935	0.411	0.06165	0
2008-03-18 00:00:00	0.835	6.78213	98.954	0.3553	0.418	0.0627	0
