!date	Q	temp	NO3	PO4_P	TP	dd_P	Pw
2008-01-01 00:00:00	0.161364	2.19033	79.458	0.13805	0.251	0.11295	0
2008-01-02 00:00:00	0.161364	2.39982	79.458	0.13805	0.251	0.11295	0
2008-01-03 00:00:00	0.150654	2.31795	79.002	0.1364	0.248	0.1116	0
2008-01-04 00:00:00	0.145656	2.29689	79.002	0.1364	0.248	0.1116	0
2008-01-05 00:00:00	0.145656	2.5878	79.002	0.1364	0.248	0.1116	0
2008-01-06 00:00:00	0.150654	3.08439	79.002	0.1364	0.248	0.1116	0
2008-01-07 00:00:00	0.150654	3.38106	79.002	0.1364	0.248	0.1116	0
2008-01-08 00:00:00	0.134946	3.58744	78.483	0.13475	0.245	0.11025	0
2008-01-09 00:00:00	0.129948	3.69033	78.483	0.13475	0.245	0.11025	0
2008-01-10 00:00:00	0.129948	3.76671	78.483	0.13475	0.245	0.11025	0
2008-01-11 00:00:00	0.129948	4.03661	78.483	0.13475	0.245	0.11025	0
2008-01-12 00:00:00	0.129948	4.13677	78.483	0.13475	0.245	0.11025	0
2008-01-13 00:00:00	0.129948	3.80157	78.483	0.13475	0.245	0.11025	0
2008-01-14 00:00:00	0.118881	3.57797	77.88	0.1331	0.242	0.1089	0
2008-01-15 00:00:00	0.118881	3.80243	77.88	0.1331	0.242	0.1089	0
2008-01-16 00:00:00	0.134589	4.09801	78.483	0.13475	0.245	0.11025	0
2008-01-17 00:00:00	0.150297	4.08783	79.002	0.1364	0.248	0.1116	0
2008-01-18 00:00:00	0.193851	3.98308	79.865	0.13915	0.253	0.11385	0
2008-01-19 00:00:00	0.450534	3.60456	82.902	0.1496	0.272	0.1224	0
2008-01-20 00:00:00	0.649383	3.21795	83.836	0.15235	0.277	0.12465	0
2008-01-21 00:00:00	0.701505	3.04753	84.189	0.15345	0.279	0.12555	0
2008-01-22 00:00:00	0.676515	2.68366	84.189	0.15345	0.279	0.12555	0
2008-01-23 00:00:00	0.594048	2.59118	83.646	0.1518	0.276	0.1242	0
2008-01-24 00:00:00	0.506226	2.87947	83.238	0.1507	0.274	0.1233	0
2008-01-25 00:00:00	0.466242	2.86283	82.902	0.1496	0.272	0.1224	0
2008-01-26 00:00:00	0.411621	2.96889	82.534	0.14795	0.269	0.12105	0
2008-01-27 00:00:00	0.369852	3.19584	82.336	0.1474	0.268	0.1206	0
2008-01-28 00:00:00	0.342006	3.27092	82.128	0.14685	0.267	0.12015	0
2008-01-29 00:00:00	0.323799	3.27792	81.908	0.1463	0.266	0.1197	0
2008-01-30 00:00:00	0.305235	2.98748	81.674	0.1452	0.264	0.1188	0
2008-01-31 00:00:00	0.297738	2.7963	81.674	0.1452	0.264	0.1188	0
2008-02-01 00:00:00	0.305235	2.93337	81.674	0.1452	0.264	0.1188	0
2008-02-02 00:00:00	0.297738	2.93192	81.674	0.1452	0.264	0.1188	0
2008-02-03 00:00:00	0.273105	2.69112	81.426	0.14465	0.263	0.11835	0
2008-02-04 00:00:00	0.255612	2.86294	81.16	0.14355	0.261	0.11745	0
2008-02-05 00:00:00	0.255612	3.25855	81.16	0.14355	0.261	0.11745	0
2008-02-06 00:00:00	0.305949	3.5721	81.674	0.1452	0.264	0.1188	0
2008-02-07 00:00:00	0.411621	3.20301	82.534	0.14795	0.269	0.12105	0
2008-02-08 00:00:00	0.437325	2.94335	82.722	0.1485	0.27	0.1215	0
2008-02-09 00:00:00	0.409836	3.10874	82.534	0.14795	0.269	0.12105	0
2008-02-10 00:00:00	0.368781	3.2173	82.336	0.1474	0.268	0.1206	0
2008-02-11 00:00:00	0.350574	3.45313	82.128	0.14685	0.267	0.12015	0
2008-02-12 00:00:00	0.323085	3.31253	81.908	0.1463	0.266	0.1197	0
2008-02-13 00:00:00	0.305235	3.14092	81.674	0.1452	0.264	0.1188	0
2008-02-14 00:00:00	0.287028	3.0262	81.426	0.14465	0.263	0.11835	0
2008-02-15 00:00:00	0.265608	2.87445	81.426	0.14465	0.263	0.11835	0
2008-02-16 00:00:00	0.231693	2.64241	80.875	0.14245	0.259	0.11655	0
2008-02-17 00:00:00	0.214914	2.66514	80.567	0.1419	0.258	0.1161	0
2008-02-18 00:00:00	0.220983	3.17597	80.567	0.1419	0.258	0.1161	0
2008-02-19 00:00:00	0.214914	3.57264	80.567	0.1419	0.258	0.1161	0
2008-02-20 00:00:00	0.214914	3.6552	80.567	0.1419	0.258	0.1161	0
2008-02-21 00:00:00	0.214914	3.90651	80.567	0.1419	0.258	0.1161	0
2008-02-22 00:00:00	0.204561	4.49261	80.232	0.1408	0.256	0.1152	0
2008-02-23 00:00:00	0.198849	4.88937	80.232	0.1408	0.256	0.1152	0
2008-02-24 00:00:00	0.188139	5.03668	79.865	0.13915	0.253	0.11385	0
2008-02-25 00:00:00	0.182427	5.06098	79.865	0.13915	0.253	0.11385	0
2008-02-26 00:00:00	0.182427	5.24109	79.865	0.13915	0.253	0.11385	0
2008-02-27 00:00:00	0.182427	5.18474	79.865	0.13915	0.253	0.11385	0
2008-02-28 00:00:00	0.177429	4.82933	79.458	0.13805	0.251	0.11295	0
2008-02-29 00:00:00	0.177429	4.84401	79.458	0.13805	0.251	0.11295	0
2008-03-01 00:00:00	0.295596	4.687	81.426	0.14465	0.263	0.11835	0
2008-03-02 00:00:00	0.338436	4.56732	81.674	0.1452	0.264	0.1188	0
2008-03-03 00:00:00	0.363783	4.44612	81.908	0.1463	0.266	0.1197	0
2008-03-04 00:00:00	0.347361	4.0129	81.908	0.1463	0.266	0.1197	0
2008-03-05 00:00:00	0.329154	3.72214	81.674	0.1452	0.264	0.1188	0
2008-03-06 00:00:00	0.312375	3.84469	81.674	0.1452	0.264	0.1188	0
2008-03-07 00:00:00	0.312375	4.34788	81.674	0.1452	0.264	0.1188	0
2008-03-08 00:00:00	0.294525	4.66049	81.426	0.14465	0.263	0.11835	0
2008-03-09 00:00:00	0.276318	4.80312	81.16	0.14355	0.261	0.11745	0
2008-03-10 00:00:00	0.261681	5.09804	81.16	0.14355	0.261	0.11745	0
2008-03-11 00:00:00	0.261681	5.16193	81.16	0.14355	0.261	0.11745	0
2008-03-12 00:00:00	0.261681	5.11345	81.16	0.14355	0.261	0.11745	0
2008-03-13 00:00:00	0.244902	5.0893	80.875	0.14245	0.259	0.11655	0
2008-03-14 00:00:00	0.251685	5.0527	80.875	0.14245	0.259	0.11655	0
2008-03-15 00:00:00	0.262395	5.10964	81.16	0.14355	0.261	0.11745	0
2008-03-16 00:00:00	0.305235	5.25375	81.674	0.1452	0.264	0.1188	0
2008-03-17 00:00:00	0.520506	4.74719	83.448	0.15125	0.275	0.12375	0
2008-03-18 00:00:00	0.584409	4.36505	83.836	0.15235	0.277	0.12465	0
2008-03-19 00:00:00	0.518364	4.53928	83.448	0.15125	0.275	0.12375	0
2008-03-20 00:00:00	0.448035	4.59084	82.902	0.1496	0.272	0.1224	0
2008-03-21 00:00:00	0.42126	4.75468	82.722	0.1485	0.27	0.1215	0
2008-03-22 00:00:00	0.368781	4.79671	82.336	0.1474	0.268	0.1206	0
2008-03-23 00:00:00	0.342006	4.55666	82.128	0.14685	0.267	0.12015	0
2008-03-24 00:00:00	0.305235	4.44963	81.674	0.1452	0.264	0.1188	0
2008-03-25 00:00:00	0.297738	4.66612	81.674	0.1452	0.264	0.1188	0
2008-03-26 00:00:00	0.268821	4.7653	81.16	0.14355	0.261	0.11745	0
2008-03-27 00:00:00	0.261681	5.13339	81.16	0.14355	0.261	0.11745	0
2008-03-28 00:00:00	0.238119	5.69886	80.875	0.14245	0.259	0.11655	0
2008-03-29 00:00:00	0.255612	6.00997	81.16	0.14355	0.261	0.11745	0
2008-03-30 00:00:00	0.272391	6.39472	81.426	0.14465	0.263	0.11835	0
2008-03-31 00:00:00	0.306663	6.49058	81.908	0.1463	0.266	0.1197	0
2008-04-01 00:00:00	0.378777	6.31888	82.534	0.14795	0.269	0.12105	0
2008-04-02 00:00:00	0.47481	6.00173	83.074	0.15015	0.273	0.12285	0
2008-04-03 00:00:00	0.55692	5.71689	83.448	0.15125	0.275	0.12375	0
2008-04-04 00:00:00	0.551565	5.80167	83.646	0.1518	0.276	0.1242	0
2008-04-05 00:00:00	0.58548	5.80665	83.836	0.15235	0.277	0.12465	0
2008-04-06 00:00:00	0.620466	5.75699	84.016	0.1529	0.278	0.1251	0
2008-04-07 00:00:00	0.586908	5.66744	83.836	0.15235	0.277	0.12465	0
2008-04-08 00:00:00	0.538713	5.90864	83.448	0.15125	0.275	0.12375	0
