!datetime	AirTemp_C	WindSpeed_m_s	RelHum_perc	Precip_m_s	AirPress_Pa	LWrad_W_m2	SWrad_W_m2	Cloud
2008-01-01 00:00:00	-2.0706	1.1714	96.2485	4.84143518518519e-09	96706.1108	272.0398	26.1514	0.8224
2008-01-02 00:00:00	-3.6644	3.0614	93.9135	1.34143518518519e-09	96342.4352	259.4016	42.6445	0.7791
2008-01-03 00:00:00	-3.6506	4.0228	89.1235	3.13657407407407e-10	95460.0624	250.817	38.5035	0.9085
2008-01-04 00:00:00	-3.5748	2.8306	89.5882	0	95609.9045	238.2709	46.9286	0.9418
2008-01-05 00:00:00	0.25	4.9435	92.1417	3.94513888888889e-08	95284.7213	276.0075	31.3576	0.9216
2008-01-06 00:00:00	1.5327	2.8183	94.7248	5.2869212962963e-08	95328.7138	292.5846	21.6376	0.6462
2008-01-07 00:00:00	1.8644	5.0747	90.9479	5.21909722222222e-08	95587.8264	270.4538	20.9434	0.6912
2008-01-08 00:00:00	2.4559	3.9422	89.1258	6.52546296296296e-09	96297.5497	265.7363	41.7836	0.6782
2008-01-09 00:00:00	1.6694	3.8299	91.9061	8.22106481481482e-09	95861.3717	278.9843	37.681	0.9028
2008-01-10 00:00:00	2.9016	4.1015	92.8284	5.60185185185185e-10	95927.5724	276.7213	37.7507	0.8982
2008-01-11 00:00:00	4.9075	4.7257	81.9194	3.21759259259259e-10	95181.7671	269.9512	48.0866	0.7161
2008-01-12 00:00:00	2.6229	3.6624	87.7991	1.48263888888889e-09	95077.2258	273.9383	34.8578	0.8159
2008-01-13 00:00:00	-0.252	2.2557	92.9392	1.77083333333333e-10	96054.503	249.823	42.9885	0.4323
2008-01-14 00:00:00	1.1357	4.5048	92.0373	3.19560185185185e-09	95444.4801	273.3341	40.802	0.9301
2008-01-15 00:00:00	3.8561	6.2296	84.9635	3.96990740740741e-10	94920.3138	267.3695	49.7317	0.887
2008-01-16 00:00:00	4.3126	5.1614	89.9124	3.42013888888889e-08	94360.6114	288.4408	31.1825	0.9659
2008-01-17 00:00:00	3.1635	4.2956	91.6608	2.08784722222222e-08	95298.0395	288.6092	33.3301	0.9124
2008-01-18 00:00:00	5.1967	5.9081	91.2478	4.74351851851852e-08	95650.4956	313.4213	36.96	0.909
2008-01-19 00:00:00	9.2008	7.0852	93.2083	3.79212962962963e-08	96175.1714	354.1307	5.7725	1
2008-01-20 00:00:00	9.1148	6.4479	91.5858	1.55011574074074e-08	96344.4218	351.9879	10.7401	1
2008-01-21 00:00:00	7.5034	6.9529	87.2313	7.02083333333333e-09	95641.3906	337.2299	13.4234	1
2008-01-22 00:00:00	2.3949	4.5246	86.3134	4.68148148148148e-08	95767.7982	281.7181	45.6107	0.6666
2008-01-23 00:00:00	1.1352	3.3252	84.3963	1.60300925925926e-09	97199.5379	268.3411	56.7055	0.6685
2008-01-24 00:00:00	3.9864	3.7172	86.489	1.87453703703704e-08	96959.8945	286.4749	54.5155	0.8095
2008-01-25 00:00:00	1.9881	4.2053	78.2321	5.01157407407407e-10	97719.682	239.8964	68.7286	0.3167
2008-01-26 00:00:00	4.0454	5.9523	81.6116	2.00462962962963e-09	97277.5013	294.0193	48.0917	0.9057
2008-01-27 00:00:00	4.2508	5.999	93.2302	4.48599537037037e-08	96820.8535	328.2187	9.4346	0.9999
2008-01-28 00:00:00	5.2646	2.1257	92.9701	9.63194444444444e-09	97430.7593	333.2618	19.0228	0.991
2008-01-29 00:00:00	3.5912	0.7233	87.3218	1.12847222222222e-09	97028.9123	302.2352	35.9043	0.9041
2008-01-30 00:00:00	0.8736	2.1108	94.5731	2.42534722222222e-08	96379.7058	295.6819	33.7554	0.9946
2008-01-31 00:00:00	-0.2447	5.6136	87.9118	9.15509259259259e-10	95994.0866	269.0268	39.9909	0.842
2008-02-01 00:00:00	1.6686	6.4335	92.7246	9.97511574074074e-08	94340.1248	302.1181	38.5539	0.9983
2008-02-02 00:00:00	-0.0892	4.4955	89.8944	2.71168981481482e-08	95408.4159	254.5115	53.7269	0.5803
2008-02-03 00:00:00	-1.6002	3.3084	81.9133	0	96027.9617	212.7105	86.4008	0.2202
2008-02-04 00:00:00	0.6648	3.0957	86.9155	7.98611111111111e-11	95155.4598	262.2259	57.4964	0.8054
2008-02-05 00:00:00	2.8673	5.5893	91.532	3.10416666666667e-08	95842.898	308.747	40.3139	0.9959
2008-02-06 00:00:00	5.5427	5.3202	91.3438	1.02761574074074e-07	95987.9769	314.2678	53.0705	0.9002
2008-02-07 00:00:00	1.4052	3.0713	85.2988	2.36805555555556e-09	97705.9736	261.4346	64.6647	0.5888
2008-02-08 00:00:00	1.6661	1.7955	84.0273	0	97981.1674	277.6199	56.7819	0.4885
2008-02-09 00:00:00	1.5946	1.772	74.1488	0	97861.4577	247.6143	91.3739	0.0701
2008-02-10 00:00:00	3.1163	0.9903	82.6343	0	97821.8929	254.3917	88.8521	0.5101
2008-02-11 00:00:00	3.9947	1.1263	84.0378	0	97795.9068	253.1682	92.0153	0.2939
2008-02-12 00:00:00	1.4203	2.0139	96.4448	2.375e-09	97687.8258	294.7548	39.7269	0.8901
2008-02-13 00:00:00	0.4087	0.8001	94.8022	1.10532407407407e-09	97689.3114	287.0119	58.0685	0.6895
2008-02-14 00:00:00	-1.409	1.1853	98.8702	5.00462962962963e-09	97645.2354	289.0236	41.7187	0.9514
2008-02-15 00:00:00	-2.2563	3.3634	82.4826	5.10416666666667e-09	97858.0675	264.2416	56.7148	0.7408
2008-02-16 00:00:00	-4.9606	2.3535	75.5119	1.31944444444444e-10	98423.9312	215.3423	92.7883	0.3025
2008-02-17 00:00:00	-2.5729	2.0651	63.1367	0	98050.9005	213.2476	108.5638	0.4207
2008-02-18 00:00:00	0.5556	2.9052	64.3204	5.05787037037037e-10	97309.7974	260.1511	81.2536	0.4869
2008-02-19 00:00:00	1.6588	0.5724	89.35	2.05324074074074e-09	96839.2746	277.2251	84.3616	0.4429
2008-02-20 00:00:00	1.1401	2.3424	92.1541	1.65162037037037e-08	96336.6172	271.6731	78.4907	0.5609
2008-02-21 00:00:00	4.185	3.7672	91.7666	5.14351851851852e-09	96466.1855	314.6716	47.4045	0.9927
2008-02-22 00:00:00	7.0645	6.5157	87.9912	5.2662037037037e-09	96443.4623	336.5617	29.213	0.9998
2008-02-23 00:00:00	7.6502	4.2941	77.1591	2.65393518518519e-09	96831.1925	304.9784	72.8071	0.8217
2008-02-24 00:00:00	7.2549	3.0118	82.2945	0	96379.5138	266.3841	121.2157	0.0346
2008-02-25 00:00:00	6.5798	2.6936	84.417	8.71064814814815e-09	96284.2884	296.1629	82.3844	0.6706
2008-02-26 00:00:00	8.992	5.9078	84.8787	5.44259259259259e-08	95484.7691	332.8082	87.1062	0.9434
2008-02-27 00:00:00	5.193	5.3333	79.9611	1.5380787037037e-08	95759.8048	290.0511	84.2374	0.5842
2008-02-28 00:00:00	3.7862	2.4728	79.1546	1.51157407407407e-09	96375.8829	285.3475	74.5183	0.8006
2008-02-29 00:00:00	5.1237	3.1981	91.6661	5.41655092592593e-08	95604.782	332.024	23.7068	1
2008-03-01 00:00:00	5.5987	8.3422	85.4273	2.06142361111111e-07	94096.9919	299.1729	92.4394	0.7328
2008-03-02 00:00:00	6.7453	7.1576	81.2374	4.19340277777778e-08	94742.727	313.8987	48.4958	0.957
2008-03-03 00:00:00	4.251	4.2508	85.8691	3.55486111111111e-08	95069.8465	296.8908	56.0946	0.7978
2008-03-04 00:00:00	0.8354	2.6267	77.0548	4.94097222222222e-09	95635.5708	239.3593	114.4768	0.8224
2008-03-05 00:00:00	-1.6816	3.037	67.2146	8.19907407407408e-09	96743.5755	215.5654	141.028	0.1838
2008-03-06 00:00:00	0.4482	4.1201	74.1605	2.04861111111111e-10	96507.1996	260.6594	106.1747	0.6936
2008-03-07 00:00:00	3.9594	0.6336	89.3542	3.6087962962963e-09	95801.64	320.1751	70.6992	0.9874
2008-03-08 00:00:00	4.6228	1.3382	91.2321	2.9724537037037e-08	95383.8107	315.7625	55.4473	0.9467
2008-03-09 00:00:00	5.1009	4.172	77.1299	4.51388888888889e-11	94864.3798	281.5232	104.9274	0.8411
2008-03-10 00:00:00	7.2761	5.3846	72.6093	3.10185185185185e-08	93943.1528	286.8039	146.4407	0.665
2008-03-11 00:00:00	5.6916	6.7093	85.9781	6.525e-08	93694.4232	296.3999	111.3684	0.8528
2008-03-12 00:00:00	6.1735	7.8223	77.3612	5.09236111111111e-08	93947.6261	289.6149	134.7632	0.7338
