date,Silbergraben,Gera,Schmal,Kern,Vol,Out,In_tot,Vol_diff,Ungauged,In_calc,Vol_calc,out_calc,out_calc_fixed,Vol_calc_fixed
2008-01-01,0.202,0.16,0.003,0.253,15.8,0.747,0.75,15.79703216,0.161364,0.776364,15.8025370496,0.747,0.747,15.8025370496
2008-01-02,0.202,0.16,0.003,0.253,15.8,0.716,0.75,15.79687664,0.161364,0.776364,15.8077524992,0.776364,0.776364,15.8025370496
2008-01-03,0.202,0.14,0.003,0.223,15.8,0.772,0.72,15.7890488,0.150654,0.715654,15.8028842048,0.715654,0.715654,15.8025370496
2008-01-04,0.188,0.14,0.003,0.223,15.8,0.777,0.69,15.77817536,0.145656,0.696656,15.7959424832,0.696656,0.696656,15.8025370496
2008-01-05,0.188,0.15,0.003,0.223,15.8,0.813,0.7,15.7649,0.145656,0.706656,15.7867543616,0.706656,0.706656,15.8025370496
2008-01-06,0.202,0.14,0.003,0.223,15.8,0.8,0.69,15.75194,0.150654,0.715654,15.7794668672,0.715654,0.715654,15.8025370496
2008-01-07,0.202,0.15,0.003,0.223,15.7,0.797,0.7,15.74011616,0.150654,0.725654,15.7733025728,1.88306140740742,1.88306140740742,15.7025370496
2008-01-08,0.188,0.14,0.003,0.193,15.7,0.823,0.69,15.7250696,0.134946,0.655946,15.7588691072,0.655946,0.655946,15.7025370496
2008-01-09,0.174,0.14,0.003,0.193,15.7,0.849,0.64,15.70334432,0.129948,0.636948,15.7405478144,0.636948,0.636948,15.7025370496
2008-01-10,0.174,0.14,0.003,0.193,15.7,0.838,0.64,15.68261696,0.129948,0.636948,15.7231769216,0.636948,0.636948,15.7025370496
2008-01-11,0.174,0.15,0.003,0.193,15.7,0.873,0.68,15.6621704,0.129948,0.646948,15.7036460288,0.646948,0.646948,15.7025370496
2008-01-12,0.174,0.16,0.003,0.193,15.6,0.812,0.69,15.64812176,0.129948,0.656948,15.690249536,1.8143554074074,1.8143554074074,15.6025370496
2008-01-13,0.174,0.15,0.003,0.193,15.6,0.783,0.61,15.629792,0.129948,0.646948,15.6784946432,0.646948,0.646948,15.6025370496
2008-01-14,0.174,0.15,0.004,0.163,15.6,0.805,0.65,15.6129224,0.118881,0.605881,15.6612907616,0.605881,0.605881,15.6025370496
2008-01-15,0.174,0.18,0.004,0.163,15.6,0.814,0.68,15.59782832,0.118881,0.635881,15.64590128,0.635881,0.635881,15.6025370496
2008-01-16,0.188,0.16,0.004,0.193,15.6,0.82,0.71,15.58478192,0.134589,0.675589,15.6334241696,0.675589,0.675589,15.6025370496
2008-01-17,0.202,0.18,0.004,0.223,15.6,0.853,0.77,15.57392576,0.150297,0.755297,15.6249826304,0.755297,0.755297,15.6025370496
2008-01-18,0.264,0.2,0.004,0.283,15.6,0.845,0.82,15.56811536,0.193851,0.940851,15.6332641568,0.940851,0.940851,15.6025370496
2008-01-19,0.626,0.66,0.007,0.643,15.6,0.781,2.2,15.68734304,0.450534,2.379534,15.7713774944,2.379534,2.379534,15.6025370496
2008-01-20,1.01,1.2,0.014,0.823,15.8,0.788,3.53,15.92084768,0.649383,3.682383,16.0214521856,1.36756818518517,1.36756818518517,15.8025370496
2008-01-21,1.08,0.2,0.018,0.903,16,0.846,2.97,16.10070656,0.701505,2.884505,16.1975790176,0.569690185185193,0.569690185185193,16.0025370496
2008-01-22,1.01,0.2,0.018,0.903,16,2.621,2.88,16.11176144,0.676515,2.789515,16.2121387136,2.789515,2.789515,16.0025370496
2008-01-23,0.893,0.19,0.012,0.783,16,3.147,2.47,16.0396736,0.594048,2.460048,16.1527860608,2.460048,2.460048,16.0025370496
2008-01-24,0.727,0.2,0.012,0.703,15.9,3.147,2.26,15.94944176,0.506226,2.136226,16.0654551872,3.2936334074074,3.2936334074074,15.9025370496
2008-01-25,0.675,0.19,0.012,0.643,15.8,3.2,2.01,15.83280176,0.466242,1.974242,15.959549696,3.1316494074074,3.1316494074074,15.8025370496
2008-01-26,0.579,0.19,0.009,0.583,15.8,2.023,1.73,15.7987472,0.411621,1.763621,15.9371393504,1.763621,1.763621,15.8025370496
2008-01-27,0.492,0.19,0.009,0.553,15.8,1.556,1.6,15.79582688,0.369852,1.604852,15.9413601632,1.604852,1.604852,15.8025370496
2008-01-28,0.444,0.18,0.009,0.523,15.8,2.019,1.53,15.7448552,0.342006,1.489006,15.8955686816,1.489006,1.489006,15.8025370496
2008-01-29,0.421,0.18,0.007,0.493,15.8,1.605,1.41,15.7210736,0.323799,1.417799,15.8793945152,1.417799,1.417799,15.8025370496
2008-01-30,0.399,0.16,0.007,0.463,15.8,1.562,1.32,15.69341696,0.305235,1.327235,15.8591108192,1.327235,1.327235,15.8025370496
2008-01-31,0.378,0.16,0.007,0.463,15.8,1.267,1.29,15.68993072,0.297738,1.298738,15.8618529824,1.298738,1.298738,15.8025370496
2008-02-01,0.399,0.16,0.007,0.463,15.9,0.87,1.29,15.72246032,0.305235,1.327235,15.9013580864,0.169827592592596,0.169827592592596,15.9025370496
2008-02-02,0.378,0.16,0.007,0.463,15.9,1.061,1.29,15.7376624,0.297738,1.298738,15.9218986496,1.298738,1.298738,15.9025370496
2008-02-03,0.337,0.15,0.005,0.433,15.9,1.032,1.12,15.74080736,0.273105,1.193105,15.9358181216,1.193105,1.193105,15.9025370496
2008-02-04,0.318,0.15,0.005,0.403,15.9,1.015,1.12,15.74549456,0.255612,1.126612,15.9454613984,1.126612,1.126612,15.9025370496
2008-02-05,0.318,0.15,0.005,0.403,15.9,1.565,1.05,15.69423776,0.255612,1.126612,15.9075846752,1.126612,1.126612,15.9025370496
2008-02-06,0.399,0.15,0.005,0.463,15.9,1.523,1.21,15.6606152,0.305949,1.317949,15.8898682688,1.317949,1.317949,15.9025370496
2008-02-07,0.579,0.18,0.009,0.583,15.9,1.461,1.77,15.68100128,0.411621,1.753621,15.9151507232,1.753621,1.753621,15.9025370496
2008-02-08,0.626,0.19,0.014,0.613,15.9,1.473,1.9,15.71153072,0.437325,1.866325,15.9491340032,1.866325,1.866325,15.9025370496
2008-02-09,0.579,0.19,0.014,0.583,15.9,1.585,1.78,15.72153152,0.409836,1.761836,15.9644126336,1.761836,1.761836,15.9025370496
2008-02-10,0.492,0.19,0.012,0.553,15.9,1.578,1.6,15.71661536,0.368781,1.603781,15.966640112,1.603781,1.603781,15.9025370496
2008-02-11,0.468,0.18,0.009,0.523,15.9,1.571,1.53,15.70628624,0.350574,1.521574,15.9623697056,1.521574,1.521574,15.9025370496
2008-02-12,0.421,0.18,0.009,0.493,15.9,1.657,1.41,15.6777872,0.323085,1.417085,15.9416410496,1.417085,1.417085,15.9025370496
2008-02-13,0.399,0.18,0.007,0.463,15.8,1.679,1.34,15.64124432,0.305235,1.347235,15.9129765536,2.5046424074074,2.5046424074074,15.8025370496
2008-02-14,0.378,0.16,0.007,0.433,15.8,1.465,1.25,15.61633952,0.287028,1.258028,15.8950941728,1.258028,1.258028,15.8025370496
2008-02-15,0.318,0.15,0.007,0.433,15.8,1.087,1.15,15.61708688,0.265608,1.166608,15.901972304,1.166608,1.166608,15.8025370496
2008-02-16,0.281,0.14,0.005,0.373,15.8,0.965,1.04,15.61939808,0.231693,1.025693,15.9072161792,1.025693,1.025693,15.8025370496
2008-02-17,0.264,0.14,0.005,0.343,15.8,0.958,0.98,15.61716032,0.214914,0.961914,15.9075543488,0.961914,0.961914,15.8025370496
2008-02-18,0.281,0.14,0.005,0.343,15.8,0.924,0.98,15.61800704,0.220983,0.984983,15.91282328,0.984983,0.984983,15.8025370496
2008-02-19,0.264,0.14,0.005,0.343,15.8,1.039,0.98,15.60842096,0.214914,0.961914,15.9061630496,0.961914,0.961914,15.8025370496
2008-02-20,0.264,0.14,0.005,0.343,15.8,1.007,0.95,15.59914592,0.214914,0.961914,15.9022676192,0.961914,0.961914,15.8025370496
2008-02-21,0.264,0.14,0.005,0.343,15.8,0.856,0.95,15.6035696,0.214914,0.961914,15.9114185888,0.961914,0.961914,15.8025370496
2008-02-22,0.264,0.14,0.004,0.313,15.8,0.823,0.92,15.60839504,0.204561,0.921561,15.9199342592,0.921561,0.921561,15.8025370496
2008-02-23,0.248,0.14,0.004,0.313,15.8,0.823,0.91,15.61235648,0.198849,0.899849,15.9265740128,0.899849,0.899849,15.8025370496
2008-02-24,0.248,0.14,0.004,0.283,15.8,0.816,0.87,15.61349696,0.188139,0.859139,15.9303012224,0.859139,0.859139,15.8025370496
2008-02-25,0.232,0.13,0.004,0.283,15.8,0.821,0.83,15.61072784,0.182427,0.827427,15.9308565152,0.827427,0.827427,15.8025370496
2008-02-26,0.232,0.13,0.004,0.283,15.8,0.867,0.83,15.6037856,0.182427,0.827427,15.927437408,0.827427,0.827427,15.8025370496
2008-02-27,0.232,0.19,0.004,0.283,15.8,0.853,0.92,15.60588944,0.182427,0.887427,15.9304119008,0.887427,0.887427,15.8025370496
2008-02-28,0.248,0.16,0.004,0.253,15.8,0.824,0.86,15.60544016,0.177429,0.838429,15.9316585664,0.838429,0.838429,15.8025370496
2008-02-29,0.248,0.16,0.004,0.253,15.8,0.838,0.86,15.6037208,0.177429,0.838429,15.931695632,0.838429,0.838429,15.8025370496
2008-03-01,0.399,0.72,0.004,0.433,15.9,0.837,1.89,15.69108416,0.295596,1.847596,16.0190111264,0.690188592592597,0.690188592592597,15.9025370496
2008-03-02,0.492,0.18,0.007,0.463,15.9,0.821,1.46,15.74274704,0.338436,1.473436,16.0753815968,1.473436,1.473436,15.9025370496
2008-03-03,0.535,0.19,0.009,0.493,16,1.262,1.58,15.7647704,0.363783,1.581783,16.103010848,0.424375592592596,0.424375592592596,16.0025370496
2008-03-04,0.492,0.18,0.012,0.493,16,1.479,1.62,15.77056352,0.347361,1.512361,16.1058932384,1.512361,1.512361,16.0025370496
2008-03-05,0.468,0.18,0.009,0.463,16,1.518,1.5,15.76245056,0.329154,1.440154,16.099167344,1.440154,1.440154,16.0025370496
2008-03-06,0.421,0.18,0.009,0.463,16,1.506,1.39,15.74592224,0.312375,1.376375,16.087967744,1.376375,1.376375,16.0025370496
2008-03-07,0.421,0.18,0.009,0.463,15.9,1.544,1.32,15.71989856,0.312375,1.376375,16.073484944,2.5337824074074,2.5337824074074,15.9025370496
2008-03-08,0.399,0.18,0.007,0.433,15.9,1.34,1.3,15.71065376,0.294525,1.306525,16.070592704,1.306525,1.306525,15.9025370496
2008-03-09,0.378,0.18,0.007,0.403,15.9,1.334,1.24,15.69676928,0.276318,1.237318,16.0622393792,1.237318,1.237318,15.9025370496
2008-03-10,0.337,0.18,0.007,0.403,15.9,1.312,1.2,15.68142464,0.261681,1.181681,16.0509798176,1.181681,1.181681,15.9025370496
2008-03-11,0.337,0.18,0.007,0.403,15.9,1.337,1.2,15.663812,0.261681,1.181681,16.037560256,1.181681,1.181681,15.9025370496
2008-03-12,0.337,0.18,0.007,0.403,15.8,1.416,1.2,15.63903248,0.261681,1.181681,16.0173150944,2.3390884074074,2.3390884074074,15.8025370496
2008-03-13,0.318,0.16,0.005,0.373,15.8,1.112,1.09,15.63232784,0.244902,1.095902,16.0159242272,1.095902,1.095902,15.8025370496
2008-03-14,0.337,0.16,0.005,0.373,15.8,1.025,1.09,15.63351584,0.251685,1.121685,16.0242778112,1.121685,1.121685,15.8025370496
2008-03-15,0.337,0.15,0.005,0.403,15.8,1.014,1.15,15.64088576,0.262395,1.152395,16.0362351392,1.152395,1.152395,15.8025370496
2008-03-16,0.399,0.18,0.007,0.463,15.9,0.991,1.3,15.66330224,0.305235,1.347235,16.0670138432,0.189827592592597,0.189827592592597,15.9025370496
2008-03-17,0.727,0.18,0.012,0.743,15.9,0.988,2.17,15.76115888,0.520506,2.170506,16.1691823616,2.170506,2.170506,15.9025370496
2008-03-18,0.835,0.19,0.021,0.823,16,1.667,2.55,15.83024864,0.584409,2.432409,16.2353136992,1.2750015925926,1.2750015925926,16.0025370496
2008-03-19,0.727,0.2,0.018,0.743,16,2.689,2.38,15.79193456,0.518364,2.188364,16.1920587488,2.188364,2.188364,16.0025370496
2008-03-20,0.626,0.2,0.014,0.643,15.9,3.053,2.07,15.6938144,0.448035,1.917035,16.0939113728,3.0744424074074,3.0744424074074,15.9025370496
2008-03-21,0.579,0.2,0.012,0.613,15.9,1.945,1.95,15.685844,0.42126,1.81326,16.0825290368,1.81326,1.81326,15.9025370496
2008-03-22,0.492,0.19,0.012,0.553,15.9,2.354,1.78,15.62608112,0.368781,1.603781,16.0177101152,1.603781,1.603781,15.9025370496
2008-03-23,0.444,0.18,0.009,0.523,15.8,2.097,1.54,15.56889728,0.342006,1.489006,15.9651794336,2.6464134074074,2.6464134074074,15.8025370496
2008-03-24,0.399,0.16,0.007,0.463,15.8,1.365,1.39,15.56516048,0.305235,1.327235,15.9619165376,1.327235,1.327235,15.8025370496
2008-03-25,0.378,0.16,0.007,0.463,15.8,1.16,1.32,15.57397328,0.297738,1.298738,15.9739035008,1.298738,1.298738,15.8025370496
2008-03-26,0.357,0.16,0.007,0.403,15.8,1.373,1.22,15.55482272,0.268821,1.188821,15.9579904352,1.188821,1.188821,15.8025370496
2008-03-27,0.337,0.16,0.007,0.403,15.8,1.853,1.16,15.48694256,0.261681,1.161681,15.8982604736,1.161681,1.161681,15.8025370496
2008-03-28,0.299,0.15,0.005,0.373,15.7,1.097,1.12,15.48419072,0.238119,1.060119,15.8950739552,2.21752640740742,2.21752640740742,15.7025370496
2008-03-29,0.318,0.16,0.005,0.403,15.7,1.019,1.16,15.49197104,0.255612,1.136612,15.905235632,1.136612,1.136612,15.7025370496
2008-03-30,0.337,0.18,0.007,0.433,15.7,1.037,1.15,15.4972544,0.272391,1.222391,15.9212534144,1.222391,1.222391,15.7025370496
2008-03-31,0.378,0.18,0.012,0.493,15.7,1.074,1.34,15.51559712,0.306663,1.357663,15.9457618976,1.357663,1.357663,15.7025370496
2008-04-01,0.492,0.19,0.014,0.583,15.8,0.835,1.63,15.58067792,0.378777,1.643777,16.0156402304,0.486369592592576,0.486369592592576,15.8025370496
2008-04-02,0.675,0.2,0.018,0.673,15.9,1.576,2,15.6105032,0.47481,2.02281,16.0542446144,0.865402592592597,0.865402592592597,15.9025370496
2008-04-03,0.835,0.2,0.018,0.743,15.9,2.051,2.26,15.61970048,0.55692,2.33492,16.0787753024,2.33492,2.33492,15.9025370496
2008-04-04,0.78,0.2,0.018,0.783,15.9,2.595,2.38,15.58991408,0.551565,2.314565,16.0545457184,2.314565,2.314565,15.9025370496
2008-04-05,0.835,0.22,0.018,0.823,15.8,2.541,2.4,15.56675456,0.58548,2.46348,16.0478479904,3.6208874074074,3.6208874074074,15.8025370496
2008-04-06,0.893,0.2,0.018,0.863,15.8,2.113,2.6,15.5997032,0.620466,2.576466,16.0878914528,2.576466,2.576466,15.8025370496
2008-04-07,0.835,0.2,0.014,0.823,15.9,2.377,2.6,15.60870176,0.586908,2.444908,16.093758704,1.2875005925926,1.2875005925926,15.9025370496
2008-04-08,0.78,0.2,0.014,0.743,15.9,2.436,2.41,15.59593184,0.538713,2.261713,16.0787003072,2.261713,2.261713,15.9025370496
2008-04-09,0.675,0.2,0.014,0.703,15.8,1.99,2.19,15.60461504,0.486948,2.064948,16.0851758144,3.2223554074074,3.2223554074074,15.8025370496
2008-04-10,0.626,0.2,0.012,0.673,15.8,1.971,2,15.59860592,0.459459,1.958459,16.084092272,1.958459,1.958459,15.8025370496
2008-04-11,0.675,0.2,0.012,0.673,15.8,2.034,1.88,15.57651344,0.476952,2.024952,16.0833105248,2.024952,2.024952,15.8025370496
2008-04-12,0.893,0.22,0.014,0.983,15.9,1.629,2.74,15.66546656,0.664734,2.760734,16.1810923424,1.6033265925926,1.6033265925926,15.9025370496
2008-04-13,1.01,0.24,0.021,1.02,15.9,2.361,3.12,15.72084464,0.717213,2.987213,16.2351971456,2.987213,2.987213,15.9025370496
2008-04-14,0.893,0.24,0.018,0.943,15.9,3.635,2.91,15.64250144,0.649026,2.725026,16.156575392,2.725026,2.725026,15.9025370496
2008-04-15,0.78,0.24,0.014,0.863,15.8,3.007,2.62,15.5960744,0.581553,2.464553,16.1097079712,3.6219604074074,3.6219604074074,15.8025370496
2008-04-16,0.675,0.22,0.014,0.743,15.8,2.406,2.28,15.57479408,0.501228,2.139228,16.0866588704,2.139228,2.139228,15.8025370496
2008-04-17,0.579,0.2,0.012,0.703,15.9,0.875,2,15.66821408,0.45339,1.93539,16.1782765664,0.777982592592597,0.777982592592597,15.9025370496
2008-04-18,0.579,0.2,0.009,0.643,15.8,1.436,1.88,15.70037216,0.433041,1.855041,16.2144817088,3.0124484074074,3.0124484074074,15.8025370496
2008-04-19,0.535,0.2,0.009,0.643,15.9,1.475,1.72,15.71516816,0.417333,1.795333,16.24215848,0.637925592592596,0.637925592592596,15.9025370496
2008-04-20,0.444,0.19,0.009,0.583,15.9,1.549,1.58,15.71115488,0.363426,1.580426,16.2448736864,1.580426,1.580426,15.9025370496
2008-04-21,0.399,0.19,0.007,0.553,15.9,1.525,1.47,15.69981488,0.337365,1.479365,16.2409308224,1.479365,1.479365,15.9025370496
2008-04-22,0.378,0.19,0.007,0.523,15.9,1.499,1.47,15.6908336,0.319158,1.410158,16.2332548736,1.410158,1.410158,15.9025370496
2008-04-23,0.357,0.18,0.007,0.493,15.9,1.582,1.31,15.66049856,0.300951,1.330951,16.21156424,1.330951,1.330951,15.9025370496
2008-04-24,0.337,0.18,0.005,0.463,15.9,1.689,1.22,15.61268048,0.283815,1.263815,16.174828256,1.263815,1.263815,15.9025370496
2008-04-25,0.318,0.16,0.005,0.433,15.8,1.602,1.22,15.57275504,0.266322,1.177322,16.1381360768,2.3347294074074,2.3347294074074,15.8025370496
2008-04-26,0.299,0.15,0.005,0.403,15.8,0.844,1.12,15.59295536,0.248829,1.100829,16.1603261024,1.100829,1.100829,15.8025370496
2008-04-27,0.281,0.15,0.005,0.373,15.8,0.841,1.05,15.60737984,0.231693,1.035693,16.1771475776,1.035693,1.035693,15.8025370496
2008-04-28,0.299,0.15,0.005,0.373,15.9,0.875,1.03,15.61699184,0.238119,1.060119,16.1931418592,-0.0972884074074034,0.1,15.8854913312
2008-04-29,0.318,0.16,0.005,0.373,15.9,0.891,1.09,15.63033632,0.244902,1.095902,16.210845392,1.095902,1.08796924021119,15.8861767216458
2008-04-30,0.299,0.15,0.004,0.343,15.9,0.837,1.01,15.64166768,0.227766,1.019766,16.2266363744,1.019766,1.01243969405834,15.8868097144791
2008-05-01,0.299,0.15,0.004,0.343,15.9,0.816,0.99,15.65317616,0.227766,1.019766,16.2442417568,1.019766,1.01243969405834,15.8874427073125
2008-05-02,0.281,0.15,0.004,0.313,15.9,0.796,0.96,15.66390704,0.21063,0.95463,16.2579473888,0.95463,0.947822528483418,15.8880308728515
2008-05-03,0.264,0.14,0.004,0.283,15.9,0.757,0.92,15.67472,0.193851,0.880851,16.2686481152,0.880851,0.874631207878035,15.8885682628908
2008-05-04,0.264,0.14,0.004,0.283,15.9,0.79,0.88,15.6790832,0.193851,0.880851,16.2764976416,0.880851,0.874631207878035,15.8891056529302
2008-05-05,0.248,0.14,0.004,0.283,15.9,0.83,0.87,15.6789536,0.188139,0.859139,16.2790152512,0.859139,0.853092152686394,15.8896281005381
2008-05-06,0.232,0.14,0.004,0.253,15.9,0.854,0.81,15.67146272,0.171717,0.796717,16.274066,0.796717,0.791167369010427,15.8901075886556
2008-05-07,0.232,0.14,0.004,0.253,15.9,0.839,0.81,15.66533264,0.171717,0.796717,16.2704127488,0.796717,0.791167369010427,15.8905870767731
2008-05-08,0.216,0.13,0.003,0.253,15.9,0.875,0.79,15.65420864,0.166362,0.765362,16.2609400256,0.765362,0.760062124190332,15.891044986043
2008-05-09,0.216,0.16,0.005,0.253,15.8,0.938,0.82,15.63996128,0.165648,0.794648,16.2485544128,1.9520554074074,1.9373030415496,15.7923195904531
2008-05-10,0.202,0.16,0.005,0.253,15.8,0.933,0.79,15.62357552,0.16065,0.77565,16.2349593728,0.77565,0.770268176134492,15.7927845800351
2008-05-11,0.202,0.15,0.005,0.223,15.8,0.919,0.74,15.60413984,0.14994,0.72494,16.2181925888,0.72494,0.719962101670228,15.7932146704508
2008-05-12,0.188,0.15,0.005,0.223,15.8,0.87,0.73,15.58828544,0.144942,0.705942,16.2040179776,0.705942,0.701115428377542,15.793631686239
2008-05-13,0.188,0.15,0.005,0.223,15.8,0.823,0.73,15.57669488,0.144942,0.705942,16.1939041664,0.705942,0.701115428377542,15.7940487020272
