Hoehe [mNN],Inhalt [Mio m³],Hoehe [mNN],Flaeche [m²],Flaeche [ha]
470,0,470,0,0
470.01,0,470.01,2,0
470.02,0,470.02,3,0
470.03,0,470.03,5,0
470.04,0,470.04,7,0
470.05,0,470.05,9,0
470.06,0,470.06,10,0
470.07,0,470.07,12,0
470.08,0,470.08,14,0
470.09,0,470.09,16,0
470.1,0,470.1,17,0
470.11,0,470.11,19,0
470.12,0,470.12,21,0
470.13,0,470.13,23,0
470.14,0,470.14,24,0
470.15,0,470.15,26,0
470.16,0,470.16,28,0
470.17,0,470.17,30,0
470.18,0,470.18,31,0
470.19,0,470.19,33,0
470.2,0,470.2,35,0
470.21,0,470.21,37,0
470.22,0,470.22,38,0
470.23,0,470.23,40,0
470.24,0,470.24,42,0
470.25,0,470.25,43,0
470.26,0,470.26,45,0
470.27,0,470.27,47,0
470.28,0,470.28,49,0
470.29,0,470.29,50,0.01
470.3,0,470.3,52,0.01
470.31,0,470.31,54,0.01
470.32,0,470.32,56,0.01
470.33,0,470.33,57,0.01
470.34,0,470.34,59,0.01
470.35,0,470.35,61,0.01
470.36,0,470.36,63,0.01
470.37,0,470.37,64,0.01
470.38,0,470.38,66,0.01
470.39,0,470.39,68,0.01
470.4,0,470.4,70,0.01
470.41,0,470.41,71,0.01
470.42,0,470.42,72,0.01
470.43,0,470.43,75,0.01
470.44,0,470.44,77,0.01
470.45,0,470.45,78,0.01
470.46,0,470.46,80,0.01
470.47,0,470.47,82,0.01
470.48,0,470.48,83,0.01
470.49,0,470.49,85,0.01
470.5,0,470.5,87,0.01
470.51,0,470.51,89,0.01
470.52,0,470.52,90,0.01
470.53,0,470.53,92,0.01
470.54,0,470.54,94,0.01
470.55,0,470.55,96,0.01
470.56,0,470.56,97,0.01
470.57,0,470.57,99,0.01
470.58,0,470.58,101,0.01
470.59,0,470.59,103,0.01
470.6,0,470.6,104,0.01
470.61,0,470.61,106,0.01
470.62,0,470.62,108,0.01
470.63,0,470.63,110,0.01
470.64,0,470.64,111,0.01
470.65,0,470.65,113,0.01
470.66,0,470.66,115,0.01
470.67,0,470.67,117,0.01
470.68,0,470.68,118,0.01
470.69,0,470.69,120,0.01
470.7,0,470.7,122,0.01
470.71,0,470.71,124,0.01
470.72,0,470.72,125,0.01
470.73,0,470.73,127,0.01
470.74,0,470.74,129,0.01
470.75,0,470.75,130,0.01
470.76,0,470.76,132,0.01
470.77,0,470.77,134,0.01
470.78,0,470.78,136,0.01
470.79,0,470.79,137,0.01
470.8,0,470.8,139,0.01
470.81,0,470.81,141,0.01
470.82,0,470.82,143,0.01
470.83,0,470.83,144,0.01
470.84,0,470.84,146,0.01
470.85,0,470.85,148,0.01
470.86,0,470.86,150,0.01
470.87,0,470.87,151,0.02
470.88,0,470.88,153,0.02
470.89,0,470.89,155,0.02
470.9,0,470.9,157,0.02
470.91,0,470.91,158,0.02
470.92,0,470.92,160,0.02
470.93,0,470.93,162,0.02
470.94,0,470.94,164,0.02
470.95,0,470.95,165,0.02
470.96,0,470.96,167,0.02
470.97,0,470.97,169,0.02
470.98,0,470.98,170,0.02
470.99,0,470.99,172,0.02
471,0,471,174,0.02
471.01,0,471.01,176,0.02
471.02,0,471.02,177,0.02
471.03,0,471.03,179,0.02
471.04,0,471.04,181,0.02
471.05,0,471.05,183,0.02
471.06,0,471.06,184,0.02
471.07,0,471.07,186,0.02
471.08,0,471.08,188,0.02
471.09,0,471.09,190,0.02
471.1,0,471.1,191,0.02
471.11,0,471.11,193,0.02
