variable	Date	layer	mean_value	data_type
Chlorophyll-a	2008-01-08	0-20 m	2.74819847216474	obs
Chlorophyll-a	2008-01-08	20 m to bottom	2.66768811141244	obs
Chlorophyll-a	2008-02-05	0-20 m	3.87649425462201	obs
Chlorophyll-a	2008-02-05	20 m to bottom	3.86922402172989	obs
Chlorophyll-a	2008-03-04	0-20 m	5.69815929327767	obs
Chlorophyll-a	2008-03-04	20 m to bottom	5.77590443921084	obs
Chlorophyll-a	2008-04-01	0-20 m	5.64460254604463	obs
Chlorophyll-a	2008-04-01	20 m to bottom	5.9764672623799	obs
Chlorophyll-a	2008-05-06	0-20 m	5.6183056296897	obs
Chlorophyll-a	2008-05-06	20 m to bottom	6.49531253466113	obs
Chlorophyll-a	2008-06-03	0-20 m	2.40781385119453	obs
Chlorophyll-a	2008-06-03	20 m to bottom	7.3281113895864	obs
Chlorophyll-a	2008-07-08	0-20 m	0.887278186656375	obs
Chlorophyll-a	2008-07-08	20 m to bottom	1.60614974782142	obs
Chlorophyll-a	2008-08-05	0-20 m	1.58415351000498	obs
Chlorophyll-a	2008-08-05	20 m to bottom	1.16781611795797	obs
Chlorophyll-a	2008-09-02	0-20 m	2.41340932842619	obs
Chlorophyll-a	2008-09-02	20 m to bottom	1.52261152250178	obs
Chlorophyll-a	2008-10-07	0-20 m	3.09951371102995	obs
Chlorophyll-a	2008-10-07	20 m to bottom	2.60137643545763	obs
Chlorophyll-a	2008-11-04	0-20 m	5.16573448494004	obs
Chlorophyll-a	2008-11-04	20 m to bottom	3.25953420217097	obs
Chlorophyll-a	2008-12-02	0-20 m	4.68105778598207	obs
Chlorophyll-a	2008-12-02	20 m to bottom	4.65153279591541	obs
Chlorophyll-a	2009-04-06	0-20 m	4.7780039637805	obs
Chlorophyll-a	2009-04-06	20 m to bottom	4.70773528304907	obs
Chlorophyll-a	2009-05-05	0-20 m	9.21591304271892	obs
Chlorophyll-a	2009-05-05	20 m to bottom	3.82556053886098	obs
Chlorophyll-a	2009-06-02	0-20 m	1.98378655138877	obs
Chlorophyll-a	2009-06-02	20 m to bottom	3.27494391414918	obs
Chlorophyll-a	2009-07-07	0-20 m	1.29067579974073	obs
Chlorophyll-a	2009-07-07	20 m to bottom	2.35714672569308	obs
Chlorophyll-a	2009-08-04	0-20 m	2.28889686469243	obs
Chlorophyll-a	2009-08-04	20 m to bottom	1.13998734417903	obs
Chlorophyll-a	2009-09-01	0-20 m	1.49400759066436	obs
Chlorophyll-a	2009-09-01	20 m to bottom	1.31441995694513	obs
Chlorophyll-a	2009-10-06	0-20 m	1.27444405976867	obs
Chlorophyll-a	2009-10-06	20 m to bottom	0.708902878769226	obs
Chlorophyll-a	2010-04-06	0-20 m	3.02843626818112	obs
Chlorophyll-a	2010-04-06	20 m to bottom	2.94878271014969	obs
Chlorophyll-a	2010-05-04	0-20 m	3.9302774242276	obs
Chlorophyll-a	2010-05-04	20 m to bottom	2.02530919173496	obs
Chlorophyll-a	2010-06-01	0-20 m	4.90396858592101	obs
Chlorophyll-a	2010-06-01	20 m to bottom	2.67834607019886	obs
Chlorophyll-a	2010-07-06	0-20 m	1.97123302041244	obs
Chlorophyll-a	2010-07-06	20 m to bottom	4.60686116805089	obs
Chlorophyll-a	2010-08-03	0-20 m	1.04422226203005	obs
Chlorophyll-a	2010-08-03	20 m to bottom	0.941094229950636	obs
Chlorophyll-a	2010-08-31	0-20 m	1.62615124548841	obs
Chlorophyll-a	2010-08-31	20 m to bottom	0.555069971346837	obs
Chlorophyll-a	2010-10-05	0-20 m	2.18377449380137	obs
Chlorophyll-a	2010-10-05	20 m to bottom	0.967843428246466	obs
Chlorophyll-a	2011-03-01	0-20 m	2.98044465087613	obs
Chlorophyll-a	2011-03-01	20 m to bottom	1.95458993018807	obs
Chlorophyll-a	2011-04-05	0-20 m	2.85257286227117	obs
Chlorophyll-a	2011-04-05	20 m to bottom	2.60214582539877	obs
Chlorophyll-a	2011-05-03	0-20 m	2.68784403273701	obs
Chlorophyll-a	2011-05-03	20 m to bottom	2.51132604101899	obs
Chlorophyll-a	2011-05-31	0-20 m	2.87680745728758	obs
Chlorophyll-a	2011-05-31	20 m to bottom	2.57465041065642	obs
Chlorophyll-a	2011-07-05	0-20 m	1.34576906789843	obs
Chlorophyll-a	2011-07-05	20 m to bottom	0.640600238470357	obs
Chlorophyll-a	2011-08-02	0-20 m	2.88298675524747	obs
Chlorophyll-a	2011-08-02	20 m to bottom	1.77311741218132	obs
Chlorophyll-a	2011-08-30	0-20 m	3.04625497851257	obs
Chlorophyll-a	2011-08-30	20 m to bottom	1.13005865460174	obs
Chlorophyll-a	2011-10-06	0-20 m	2.07815644338998	obs
Chlorophyll-a	2011-10-06	20 m to bottom	0.919896596012733	obs
Chlorophyll-a	2012-04-03	0-20 m	11.1250379358922	obs
Chlorophyll-a	2012-04-03	20 m to bottom	5.27979003956019	obs
Chlorophyll-a	2012-05-08	0-20 m	9.20030763499999	obs
Chlorophyll-a	2012-05-08	20 m to bottom	7.04958156438805	obs
Chlorophyll-a	2012-06-05	0-20 m	9.85769366297463	obs
Chlorophyll-a	2012-06-05	20 m to bottom	14.5802157897529	obs
Chlorophyll-a	2012-07-03	0-20 m	3.22750771777676	obs
Chlorophyll-a	2012-07-03	20 m to bottom	5.82315095511876	obs
Chlorophyll-a	2012-07-31	0-20 m	1.60336475249247	obs
Chlorophyll-a	2012-07-31	20 m to bottom	NA	obs
Chlorophyll-a	2012-08-28	0-20 m	1.43354359992971	obs
Chlorophyll-a	2012-08-28	20 m to bottom	1.09148233189774	obs
Chlorophyll-a	2012-10-02	0-20 m	1.08095801173411	obs
Chlorophyll-a	2012-10-02	20 m to bottom	0.595569197150695	obs
Chlorophyll-a	2013-04-23	0-20 m	3.53278908176193	obs
Chlorophyll-a	2013-04-23	20 m to bottom	3.9079806782044	obs
Chlorophyll-a	2013-05-07	0-20 m	7.50704424267752	obs
Chlorophyll-a	2013-05-07	20 m to bottom	5.24285727915037	obs
Chlorophyll-a	2013-06-04	0-20 m	7.24433708609034	obs
Chlorophyll-a	2013-06-04	20 m to bottom	8.86176609339578	obs
Chlorophyll-a	2013-06-06	0-20 m	7.32548489997849	obs
Chlorophyll-a	2013-06-06	20 m to bottom	10.3129983830114	obs
Chlorophyll-a	2013-06-11	0-20 m	6.55378093716608	obs
Chlorophyll-a	2013-06-11	20 m to bottom	7.38245299737984	obs
Chlorophyll-a	2013-07-09	0-20 m	2.10162644347933	obs
Chlorophyll-a	2013-07-09	20 m to bottom	2.8542248195189	obs
Chlorophyll-a	2013-08-06	0-20 m	1.16689333381246	obs
Chlorophyll-a	2013-08-06	20 m to bottom	0.663144629450087	obs
