variable	Date	layer	mean_value	data_type
Chlorophyll-a	2008-01-08	0-11 m	2.69652637911454	obs
Chlorophyll-a	2008-01-08	11-16 m	3.00000002607703	obs
Chlorophyll-a	2008-01-08	16 m to bottom	2.61993941374098	obs
Chlorophyll-a	2008-02-05	0-11 m	3.80940196151838	obs
Chlorophyll-a	2008-02-05	11-16 m	4.00000018998981	obs
Chlorophyll-a	2008-02-05	16 m to bottom	3.90629328327877	obs
Chlorophyll-a	2008-03-04	0-11 m	5.62995647404199	obs
Chlorophyll-a	2008-03-04	11-16 m	5.80000039190054	obs
Chlorophyll-a	2008-03-04	16 m to bottom	5.81099057496266	obs
Chlorophyll-a	2008-04-01	0-11 m	5.60934469986671	obs
Chlorophyll-a	2008-04-01	11-16 m	5.59999980032444	obs
Chlorophyll-a	2008-04-01	16 m to bottom	5.9548671524339	obs
Chlorophyll-a	2008-05-06	0-11 m	4.76248414668315	obs
Chlorophyll-a	2008-05-06	11-16 m	7.69999995827675	obs
Chlorophyll-a	2008-05-06	16 m to bottom	6.58167798515156	obs
Chlorophyll-a	2008-06-03	0-11 m	1.19017108928363	obs
Chlorophyll-a	2008-06-03	11-16 m	4.39999997615814	obs
Chlorophyll-a	2008-06-03	16 m to bottom	7.55110634839687	obs
Chlorophyll-a	2008-07-08	0-11 m	0.924948575889213	obs
Chlorophyll-a	2008-07-08	11-16 m	0.899999984540045	obs
Chlorophyll-a	2008-07-08	16 m to bottom	1.32614318985819	obs
Chlorophyll-a	2008-08-05	0-11 m	1.46904117135477	obs
Chlorophyll-a	2008-08-05	11-16 m	1.79999996908009	obs
Chlorophyll-a	2008-08-05	16 m to bottom	1.27316062391169	obs
Chlorophyll-a	2008-09-02	0-11 m	2.55417943078985	obs
Chlorophyll-a	2008-09-02	11-16 m	2.09999992512166	obs
Chlorophyll-a	2008-09-02	16 m to bottom	1.61368693192061	obs
Chlorophyll-a	2008-10-07	0-11 m	2.95134373250719	obs
Chlorophyll-a	2008-10-07	11-16 m	3.59999993816018	obs
Chlorophyll-a	2008-10-07	16 m to bottom	2.63632516207268	obs
Chlorophyll-a	2008-11-04	0-11 m	5.25700316945036	obs
Chlorophyll-a	2008-11-04	11-16 m	4.90000005811453	obs
Chlorophyll-a	2008-11-04	16 m to bottom	3.84085725892204	obs
Chlorophyll-a	2008-12-02	0-11 m	4.67255129085679	obs
Chlorophyll-a	2008-12-02	11-16 m	4.69999993219972	obs
Chlorophyll-a	2008-12-02	16 m to bottom	4.66904828429252	obs
Chlorophyll-a	2009-04-06	0-11 m	4.63126757901361	obs
Chlorophyll-a	2009-04-06	11-16 m	4.69999993219972	obs
Chlorophyll-a	2009-04-06	16 m to bottom	4.85593029137636	obs
Chlorophyll-a	2009-05-05	0-11 m	9.27370186201279	obs
Chlorophyll-a	2009-05-05	11-16 m	11.1999996006489	obs
Chlorophyll-a	2009-05-05	16 m to bottom	3.16336422377468	obs
Chlorophyll-a	2009-06-02	0-11 m	0.961509762767475	obs
Chlorophyll-a	2009-06-02	11-16 m	3.59999993816018	obs
Chlorophyll-a	2009-06-02	16 m to bottom	4.10784469205669	obs
Chlorophyll-a	2009-07-07	0-11 m	1.11182025553865	obs
Chlorophyll-a	2009-07-07	11-16 m	1.60000007599592	obs
Chlorophyll-a	2009-07-07	16 m to bottom	2.19534255792383	obs
Chlorophyll-a	2009-08-04	0-11 m	1.71746521312159	obs
Chlorophyll-a	2009-08-04	11-16 m	3.80000006407499	obs
Chlorophyll-a	2009-08-04	16 m to bottom	1.64332741803096	obs
Chlorophyll-a	2009-09-01	0-11 m	1.51360567114249	obs
Chlorophyll-a	2009-09-01	11-16 m	1.9000000320375	obs
Chlorophyll-a	2009-09-01	16 m to bottom	1.00761754208819	obs
Chlorophyll-a	2009-10-06	0-11 m	1.53632598304855	obs
Chlorophyll-a	2009-10-06	11-16 m	0.600000028498471	obs
Chlorophyll-a	2009-10-06	16 m to bottom	0.832120131329825	obs
Chlorophyll-a	2010-04-06	0-11 m	2.9925847434171	obs
Chlorophyll-a	2010-04-06	11-16 m	3.20000015199184	obs
Chlorophyll-a	2010-04-06	16 m to bottom	2.96316029676845	obs
Chlorophyll-a	2010-05-04	0-11 m	3.87243519781583	obs
Chlorophyll-a	2010-05-04	11-16 m	4.10000002011657	obs
Chlorophyll-a	2010-05-04	16 m to bottom	2.13190904712554	obs
Chlorophyll-a	2010-06-01	0-11 m	4.59389947060418	obs
Chlorophyll-a	2010-06-01	11-16 m	6.09999988228083	obs
Chlorophyll-a	2010-06-01	16 m to bottom	3.18125736956851	obs
Chlorophyll-a	2010-07-06	0-11 m	1.56570726869196	obs
Chlorophyll-a	2010-07-06	11-16 m	1.70000002253801	obs
Chlorophyll-a	2010-07-06	16 m to bottom	4.97435468161823	obs
Chlorophyll-a	2010-08-03	0-11 m	1.09213349583134	obs
Chlorophyll-a	2010-08-03	11-16 m	1.09999999403954	obs
Chlorophyll-a	2010-08-03	16 m to bottom	0.865247380472583	obs
Chlorophyll-a	2010-08-31	0-11 m	1.79215905264008	obs
Chlorophyll-a	2010-08-31	11-16 m	1.30000000353903	obs
Chlorophyll-a	2010-08-31	16 m to bottom	0.72806681863802	obs
Chlorophyll-a	2010-10-05	0-11 m	2.34554843852516	obs
Chlorophyll-a	2010-10-05	11-16 m	2.19999998807907	obs
Chlorophyll-a	2010-10-05	16 m to bottom	0.914861971121523	obs
Chlorophyll-a	2011-03-01	0-11 m	2.88030690441001	obs
Chlorophyll-a	2011-03-01	11-16 m	3.20000015199184	obs
Chlorophyll-a	2011-03-01	16 m to bottom	2.20568156530965	obs
Chlorophyll-a	2011-04-05	0-11 m	2.52719711911287	obs
Chlorophyll-a	2011-04-05	11-16 m	3.50000010803342	obs
Chlorophyll-a	2011-04-05	16 m to bottom	2.83091652544877	obs
Chlorophyll-a	2011-05-03	0-11 m	2.48383174644545	obs
Chlorophyll-a	2011-05-03	11-16 m	2.90000019595027	obs
Chlorophyll-a	2011-05-03	16 m to bottom	2.93013917477938	obs
Chlorophyll-a	2011-05-31	0-11 m	2.43094428786161	obs
Chlorophyll-a	2011-05-31	11-16 m	3.9000001270324	obs
Chlorophyll-a	2011-05-31	16 m to bottom	3.01979263076847	obs
