variable	Date	layer	mean_value	data_type
Chlorophyll-a	2008-01-08	0 m to bottom	2.72757639392725	obs
Chlorophyll-a	2008-02-05	0 m to bottom	3.8746171803891	obs
Chlorophyll-a	2008-03-04	0 m to bottom	5.71831237552443	obs
Chlorophyll-a	2008-04-01	0 m to bottom	5.7304541628124	obs
Chlorophyll-a	2008-05-06	0 m to bottom	5.84473676165479	obs
Chlorophyll-a	2008-06-03	0 m to bottom	3.63699126408348	obs
Chlorophyll-a	2008-07-08	0 m to bottom	1.04893648887402	obs
Chlorophyll-a	2008-08-05	0 m to bottom	1.49580246990899	obs
Chlorophyll-a	2008-09-02	0 m to bottom	2.23820961571837	obs
Chlorophyll-a	2008-10-07	0 m to bottom	3.01380320936707	obs
Chlorophyll-a	2008-11-04	0 m to bottom	4.8377498298701	obs
Chlorophyll-a	2008-12-02	0 m to bottom	4.67613052280541	obs
Chlorophyll-a	2009-04-06	0 m to bottom	4.76126285855167	obs
Chlorophyll-a	2009-05-05	0 m to bottom	7.83521781264516	obs
Chlorophyll-a	2009-06-02	0 m to bottom	2.31450607497503	obs
Chlorophyll-a	2009-07-07	0 m to bottom	1.5547686403604	obs
Chlorophyll-a	2009-08-04	0 m to bottom	2.01919165714324	obs
Chlorophyll-a	2009-09-01	0 m to bottom	1.45264573995479	obs
Chlorophyll-a	2009-10-06	0 m to bottom	1.1527170939563	obs
Chlorophyll-a	2010-04-06	0 m to bottom	3.00754845296489	obs
Chlorophyll-a	2010-05-04	0 m to bottom	3.44144182015199	obs
Chlorophyll-a	2010-06-01	0 m to bottom	4.35825723093802	obs
Chlorophyll-a	2010-07-06	0 m to bottom	2.5686882020275	obs
Chlorophyll-a	2010-08-03	0 m to bottom	1.02195050969148	obs
Chlorophyll-a	2010-08-31	0 m to bottom	1.39729438252889	obs
Chlorophyll-a	2010-10-05	0 m to bottom	1.92044136293021	obs
Chlorophyll-a	2011-03-01	0 m to bottom	2.72915794224761	obs
Chlorophyll-a	2011-04-05	0 m to bottom	2.78913719736248	obs
Chlorophyll-a	2011-05-03	0 m to bottom	2.64595666624161	obs
Chlorophyll-a	2011-05-31	0 m to bottom	2.80958285488341	obs
Chlorophyll-a	2011-07-05	0 m to bottom	1.19347928587481	obs
Chlorophyll-a	2011-08-02	0 m to bottom	2.65354848028971	obs
Chlorophyll-a	2011-08-30	0 m to bottom	2.68561311679593	obs
Chlorophyll-a	2011-10-06	0 m to bottom	1.87161249710519	obs
Chlorophyll-a	2012-04-03	0 m to bottom	9.61429517602759	obs
Chlorophyll-a	2012-05-08	0 m to bottom	8.67371915043426	obs
Chlorophyll-a	2012-06-05	0 m to bottom	10.9283047285605	obs
Chlorophyll-a	2012-07-03	0 m to bottom	3.84402627861369	obs
Chlorophyll-a	2012-07-31	0 m to bottom	NA	obs
Chlorophyll-a	2012-08-28	0 m to bottom	1.34948695397636	obs
Chlorophyll-a	2012-10-02	0 m to bottom	0.972601412632859	obs
Chlorophyll-a	2013-04-23	0 m to bottom	3.63002004511675	obs
Chlorophyll-a	2013-05-07	0 m to bottom	6.92374478084563	obs
Chlorophyll-a	2013-06-04	0 m to bottom	7.6836992417687	obs
Chlorophyll-a	2013-06-06	0 m to bottom	8.13111991150272	obs
Chlorophyll-a	2013-06-11	0 m to bottom	6.77513005924625	obs
Chlorophyll-a	2013-07-09	0 m to bottom	2.29298064992913	obs
Chlorophyll-a	2013-08-06	0 m to bottom	1.04377699864122	obs
Chlorophyll-a	2013-09-03	0 m to bottom	1.99219335939629	obs
Chlorophyll-a	2013-09-17	0 m to bottom	1.83264589529594	obs
Chlorophyll-a	2013-10-01	0 m to bottom	2.55946766679446	obs
Chlorophyll-a	2014-04-23	0 m to bottom	7.4898852914778	obs
Chlorophyll-a	2014-05-06	0 m to bottom	4.93841226366752	obs
