variable	Date	layer	mean_value	data_type
Temp	2008-01-01	0 m to bottom	4	mod
Temp	2008-01-02	0 m to bottom	3.94736503694199	mod
Temp	2008-01-03	0 m to bottom	3.82687639048236	mod
Temp	2008-01-04	0 m to bottom	3.70569267281023	mod
Temp	2008-01-05	0 m to bottom	3.60875193875207	mod
Temp	2008-01-06	0 m to bottom	3.53468647227852	mod
Temp	2008-01-07	0 m to bottom	3.46806380671944	mod
Temp	2008-01-08	0 m to bottom	3.40495581581766	mod
Temp	2008-01-09	0 m to bottom	3.35751620985305	mod
Temp	2008-01-10	0 m to bottom	3.32494494410129	mod
Temp	2008-01-11	0 m to bottom	3.30675035331287	mod
Temp	2008-01-12	0 m to bottom	3.29036717933305	mod
Temp	2008-01-13	0 m to bottom	3.24928270793349	mod
Temp	2008-01-14	0 m to bottom	3.18014229223445	mod
Temp	2008-01-15	0 m to bottom	3.14374984716839	mod
Temp	2008-01-16	0 m to bottom	3.13888872648473	mod
Temp	2008-01-17	0 m to bottom	3.14243278357364	mod
Temp	2008-01-18	0 m to bottom	3.13968507334492	mod
Temp	2008-01-19	0 m to bottom	3.17299567557595	mod
Temp	2008-01-20	0 m to bottom	3.27209493220271	mod
Temp	2008-01-21	0 m to bottom	3.37749322821402	mod
Temp	2008-01-22	0 m to bottom	3.42838743737635	mod
Temp	2008-01-23	0 m to bottom	3.39286767000789	mod
Temp	2008-01-24	0 m to bottom	3.34655377449992	mod
Temp	2008-01-25	0 m to bottom	3.32043723384402	mod
Temp	2008-01-26	0 m to bottom	3.26922599109721	mod
Temp	2008-01-27	0 m to bottom	3.25635316281343	mod
Temp	2008-01-28	0 m to bottom	3.26260617585233	mod
Temp	2008-01-29	0 m to bottom	3.26792627106259	mod
Temp	2008-01-30	0 m to bottom	3.25954121607813	mod
Temp	2008-01-31	0 m to bottom	3.22730409455497	mod
Temp	2008-02-01	0 m to bottom	3.1616421410177	mod
Temp	2008-02-02	0 m to bottom	3.11121691827349	mod
Temp	2008-02-03	0 m to bottom	3.02838537781611	mod
Temp	2008-02-04	0 m to bottom	2.93717958618138	mod
Temp	2008-02-05	0 m to bottom	2.89470782336856	mod
Temp	2008-02-06	0 m to bottom	2.89758812666539	mod
Temp	2008-02-07	0 m to bottom	2.91394072662953	mod
Temp	2008-02-08	0 m to bottom	2.88119576300768	mod
Temp	2008-02-09	0 m to bottom	2.8370401624684	mod
Temp	2008-02-10	0 m to bottom	2.79934731132204	mod
Temp	2008-02-11	0 m to bottom	2.78585164834197	mod
Temp	2008-02-12	0 m to bottom	2.77386183431415	mod
Temp	2008-02-13	0 m to bottom	2.75829369429317	mod
Temp	2008-02-14	0 m to bottom	2.72957621945266	mod
Temp	2008-02-15	0 m to bottom	2.69437593812298	mod
Temp	2008-02-16	0 m to bottom	2.61969082582857	mod
Temp	2008-02-17	0 m to bottom	2.52476039487309	mod
Temp	2008-02-18	0 m to bottom	2.46348889207558	mod
Temp	2008-02-19	0 m to bottom	2.4322303370661	mod
Temp	2008-02-20	0 m to bottom	2.41825241530385	mod
Temp	2008-02-21	0 m to bottom	2.41692047550415	mod
Temp	2008-02-22	0 m to bottom	2.45689256146418	mod
Temp	2008-02-23	0 m to bottom	2.52896148715312	mod
Temp	2008-02-24	0 m to bottom	2.58012269075284	mod
Temp	2008-02-25	0 m to bottom	2.606588490838	mod
Temp	2008-02-26	0 m to bottom	2.64750928859281	mod
Temp	2008-02-27	0 m to bottom	2.72875376320612	mod
Temp	2008-02-28	0 m to bottom	2.75774742508269	mod
Temp	2008-02-29	0 m to bottom	2.76880807547415	mod
Temp	2008-03-01	0 m to bottom	2.79956573100179	mod
Temp	2008-03-02	0 m to bottom	2.86238463704935	mod
Temp	2008-03-03	0 m to bottom	2.92394256371157	mod
Temp	2008-03-04	0 m to bottom	2.94397258285954	mod
Temp	2008-03-05	0 m to bottom	2.93202328907093	mod
Temp	2008-03-06	0 m to bottom	2.87825621320038	mod
Temp	2008-03-07	0 m to bottom	2.8564477256577	mod
Temp	2008-03-08	0 m to bottom	2.88408851133411	mod
Temp	2008-03-09	0 m to bottom	2.91849396558055	mod
Temp	2008-03-10	0 m to bottom	2.96950284475804	mod
Temp	2008-03-11	0 m to bottom	3.04380010752101	mod
Temp	2008-03-12	0 m to bottom	3.12208764277916	mod
Temp	2008-03-13	0 m to bottom	3.19130832749757	mod
Temp	2008-03-14	0 m to bottom	3.23015681711387	mod
Temp	2008-03-15	0 m to bottom	3.2573909358249	mod
Temp	2008-03-16	0 m to bottom	3.30961237712073	mod
Temp	2008-03-17	0 m to bottom	3.37761243006565	mod
Temp	2008-03-18	0 m to bottom	3.39134921716315	mod
Temp	2008-03-19	0 m to bottom	3.37195053693946	mod
Temp	2008-03-20	0 m to bottom	3.37349832446389	mod
Temp	2008-03-21	0 m to bottom	3.39279081176368	mod
Temp	2008-03-22	0 m to bottom	3.41064888342611	mod
Temp	2008-03-23	0 m to bottom	3.42428878476988	mod
Temp	2008-03-24	0 m to bottom	3.40167072545636	mod
Temp	2008-03-25	0 m to bottom	3.37980199151321	mod
Temp	2008-03-26	0 m to bottom	3.36200634768868	mod
Temp	2008-03-27	0 m to bottom	3.34873330865171	mod
Temp	2008-03-28	0 m to bottom	3.38063622113454	mod
Temp	2008-03-29	0 m to bottom	3.44940414200574	mod
Temp	2008-03-30	0 m to bottom	3.53827494785137	mod
Temp	2008-03-31	0 m to bottom	3.651070305778	mod
Temp	2008-04-01	0 m to bottom	3.75260546301088	mod
Temp	2008-04-02	0 m to bottom	3.85538386731477	mod
Temp	2008-04-03	0 m to bottom	3.9346282737475	mod
Temp	2008-04-04	0 m to bottom	3.98687557805603	mod
Temp	2008-04-05	0 m to bottom	4.02463046123535	mod
Temp	2008-04-06	0 m to bottom	4.06977760837339	mod
Temp	2008-04-07	0 m to bottom	4.12563645689953	mod
Temp	2008-04-08	0 m to bottom	4.17264160566928	mod
Temp	2008-04-09	0 m to bottom	4.23840992961261	mod
Temp	2008-04-10	0 m to bottom	4.27227298237107	mod
Temp	2008-04-11	0 m to bottom	4.29207852250314	mod
Temp	2008-04-12	0 m to bottom	4.358319193301	mod
Temp	2008-04-13	0 m to bottom	4.46067596252076	mod
Temp	2008-04-14	0 m to bottom	4.5835889883992	mod
Temp	2008-04-15	0 m to bottom	4.69988800950016	mod
Temp	2008-04-16	0 m to bottom	4.76880200322911	mod
Temp	2008-04-17	0 m to bottom	4.83037810927161	mod
Temp	2008-04-18	0 m to bottom	4.88468898116172	mod
Temp	2008-04-19	0 m to bottom	4.93573943178684	mod
Temp	2008-04-20	0 m to bottom	4.96046916800032	mod
Temp	2008-04-21	0 m to bottom	5.00876940352243	mod
Temp	2008-04-22	0 m to bottom	5.10665444608861	mod
Temp	2008-04-23	0 m to bottom	5.18953029210912	mod
Temp	2008-04-24	0 m to bottom	5.28559543349101	mod
Temp	2008-04-25	0 m to bottom	5.40131044271398	mod
Temp	2008-04-26	0 m to bottom	5.52166533151257	mod
Temp	2008-04-27	0 m to bottom	5.65306209758366	mod
Temp	2008-04-28	0 m to bottom	5.80695148632638	mod
Temp	2008-04-29	0 m to bottom	5.93878879597948	mod
Temp	2008-04-30	0 m to bottom	6.03022862031799	mod
Temp	2008-05-01	0 m to bottom	6.13112334652608	mod
Temp	2008-05-02	0 m to bottom	6.22438311409771	mod
Temp	2008-05-03	0 m to bottom	6.30357397574422	mod
Temp	2008-05-04	0 m to bottom	6.39216849300874	mod
Temp	2008-05-05	0 m to bottom	6.46193448610625	mod
Temp	2008-05-06	0 m to bottom	6.5315008955388	mod
Temp	2008-05-07	0 m to bottom	6.64082130816516	mod
Temp	2008-05-08	0 m to bottom	6.76840197080813	mod
Temp	2008-05-09	0 m to bottom	6.9095801438681	mod
Temp	2008-05-10	0 m to bottom	7.05849020879126	mod
Temp	2008-05-11	0 m to bottom	7.19655218615072	mod
Temp	2008-05-12	0 m to bottom	7.31815749684077	mod
Temp	2008-05-13	0 m to bottom	7.43057432054738	mod
Temp	2008-05-14	0 m to bottom	7.5521757950869	mod
Temp	2008-05-15	0 m to bottom	7.68706835697638	mod
Temp	2008-05-16	0 m to bottom	7.81733388003474	mod
Temp	2008-05-17	0 m to bottom	7.92978927183091	mod
Temp	2008-05-18	0 m to bottom	8.0147514589516	mod
Temp	2008-05-19	0 m to bottom	8.03614593035388	mod
Temp	2008-05-20	0 m to bottom	8.04377832910166	mod
Temp	2008-05-21	0 m to bottom	8.06082278739727	mod
Temp	2008-05-22	0 m to bottom	8.0932852402816	mod
Temp	2008-05-23	0 m to bottom	8.15551699865415	mod
Temp	2008-05-24	0 m to bottom	8.24045851308013	mod
Temp	2008-05-25	0 m to bottom	8.34349785552443	mod
Temp	2008-05-26	0 m to bottom	8.45615177611116	mod
Temp	2008-05-27	0 m to bottom	8.58410984579624	mod
Temp	2008-05-28	0 m to bottom	8.7376551120447	mod
Temp	2008-05-29	0 m to bottom	8.91336067851244	mod
Temp	2008-05-30	0 m to bottom	9.10313948797922	mod
Temp	2008-05-31	0 m to bottom	9.26353918576024	mod
Temp	2008-06-01	0 m to bottom	9.38851637677987	mod
Temp	2008-06-02	0 m to bottom	9.52664607221544	mod
Temp	2008-06-03	0 m to bottom	9.67591944351215	mod
Temp	2008-06-04	0 m to bottom	9.78194757841337	mod
Temp	2008-06-05	0 m to bottom	9.86308006166795	mod
Temp	2008-06-06	0 m to bottom	9.93627239145068	mod
Temp	2008-06-07	0 m to bottom	10.0027401307405	mod
Temp	2008-06-08	0 m to bottom	10.0976667159549	mod
Temp	2008-06-09	0 m to bottom	10.1988887556665	mod
Temp	2008-06-10	0 m to bottom	10.3323259173866	mod
Temp	2008-06-11	0 m to bottom	10.4507586956282	mod
Temp	2008-06-12	0 m to bottom	10.500540697986	mod
Temp	2008-06-13	0 m to bottom	10.5126390216632	mod
Temp	2008-06-14	0 m to bottom	10.5244263521343	mod
Temp	2008-06-15	0 m to bottom	10.5518706116066	mod
Temp	2008-06-16	0 m to bottom	10.6038828560847	mod
Temp	2008-06-17	0 m to bottom	10.6684249192526	mod
Temp	2008-06-18	0 m to bottom	10.7462245423801	mod
Temp	2008-06-19	0 m to bottom	10.8489960933571	mod
Temp	2008-06-20	0 m to bottom	10.9504408222936	mod
Temp	2008-06-21	0 m to bottom	11.0470752715141	mod
Temp	2008-06-22	0 m to bottom	11.1273723717202	mod
Temp	2008-06-23	0 m to bottom	11.2805408553701	mod
Temp	2008-06-24	0 m to bottom	11.4093303693723	mod
Temp	2008-06-25	0 m to bottom	11.5078955118798	mod
Temp	2008-06-26	0 m to bottom	11.6014565290349	mod
Temp	2008-06-27	0 m to bottom	11.6938830828053	mod
Temp	2008-06-28	0 m to bottom	11.7254576008858	mod
Temp	2008-06-29	0 m to bottom	11.7843698091583	mod
Temp	2008-06-30	0 m to bottom	11.8925476994532	mod
Temp	2008-07-01	0 m to bottom	12.0110821792997	mod
